system_prompt,model,batch_size,fuzzy_mode,n_iters,precision_pct,precision_std_pct,precision_report,recall_pct,recall_std_pct,recall_report,f1_pct,f1_std_pct,f1_report,accuracy_pct,accuracy_std_pct,accuracy_report,context_not_in_input_avg,context_not_in_input_std,context_not_in_input_rate_pct,context_not_in_input_rate_std_pct,context_not_in_input_rate_report,entity_not_in_context_avg,entity_not_in_context_std,entity_not_in_context_rate_pct,entity_not_in_context_rate_std_pct,entity_not_in_context_rate_report,fuzzy_helped_avg,fuzzy_helped_std,fuzzy_helped_rate_pct,fuzzy_helped_rate_std_pct,fuzzy_helped_rate_report,exact_match_avg,exact_match_std,exact_match_rate_pct,exact_match_rate_std_pct,exact_match_rate_report,elapsed_minute_avg,elapsed_minute_std
SYSTEM_PROMPT_CONTEXT,gemma3:4b,1,False,5,58.4,2.33,58.40 ± 2.33,56.86,3.3,56.86 ± 3.30,57.61,2.71,57.61 ± 2.71,87.6,0.73,87.60 ± 0.73,25.4,9.209,5.36,1.89,5.36 ± 1.89,22.4,2.51,4.74,0.44,4.74 ± 0.44,0,0.0,0.0,0.0,0.00 ± 0.00,424.6,13.939,89.9,1.79,89.90 ± 1.79,3.147,0.449
SYSTEM_PROMPT_CONTEXT,qwen3:8b,1,False,5,54.69,2.86,54.69 ± 2.86,61.7,2.14,61.70 ± 2.14,57.97,2.39,57.97 ± 2.39,86.37,1.34,86.37 ± 1.34,5.2,2.683,0.98,0.51,0.98 ± 0.51,2.6,2.074,0.47,0.37,0.47 ± 0.37,0,0.0,0.0,0.0,0.00 ± 0.00,523.6,34.18,98.51,0.64,98.51 ± 0.64,3.389,0.259
SYSTEM_PROMPT_CONTEXT,gpt-oss:20b,1,False,5,63.71,3.09,63.71 ± 3.09,70.83,2.84,70.83 ± 2.84,67.07,2.83,67.07 ± 2.83,90.9,0.87,90.90 ± 0.87,4.4,1.517,0.93,0.35,0.93 ± 0.35,1.4,2.074,0.28,0.41,0.28 ± 0.41,0,0.0,0.0,0.0,0.00 ± 0.00,471.8,20.45,98.78,0.28,98.78 ± 0.28,6.529,0.89
SYSTEM_PROMPT_CONTEXT,llama3.1:8b,1,False,5,54.44,3.25,54.44 ± 3.25,61.27,2.16,61.27 ± 2.16,57.63,2.64,57.63 ± 2.64,88.21,0.68,88.21 ± 0.68,37.0,6.285,6.23,0.93,6.23 ± 0.93,43.6,7.162,7.35,1.14,7.35 ± 1.14,0,0.0,0.0,0.0,0.00 ± 0.00,511.8,10.521,86.41,1.17,86.41 ± 1.17,2.776,0.197
SYSTEM_PROMPT_CONTEXT_MD,gemma3:4b,1,False,5,57.75,3.11,57.75 ± 3.11,54.01,4.52,54.01 ± 4.52,55.79,3.75,55.79 ± 3.75,87.18,1.16,87.18 ± 1.16,26.6,6.387,5.73,1.41,5.73 ± 1.41,29.0,4.472,6.26,1.07,6.26 ± 1.07,0,0.0,0.0,0.0,0.00 ± 0.00,408.8,17.527,88.0,1.51,88.00 ± 1.51,3.144,0.182
SYSTEM_PROMPT_CONTEXT_MD,qwen3:8b,1,False,5,57.22,2.66,57.22 ± 2.66,74.71,2.04,74.71 ± 2.04,64.8,2.44,64.80 ± 2.44,88.54,0.54,88.54 ± 0.54,5.8,2.864,0.99,0.49,0.99 ± 0.49,1.8,0.837,0.31,0.14,0.31 ± 0.14,0,0.0,0.0,0.0,0.00 ± 0.00,577.0,15.508,98.56,0.5,98.56 ± 0.50,3.213,0.082
SYSTEM_PROMPT_CONTEXT_MD,gpt-oss:20b,1,False,5,59.06,2.14,59.06 ± 2.14,71.14,1.41,71.14 ± 1.41,64.53,1.68,64.53 ± 1.68,89.92,0.74,89.92 ± 0.74,7.0,1.581,1.34,0.32,1.34 ± 0.32,3.2,1.483,0.62,0.29,0.62 ± 0.29,0,0.0,0.0,0.0,0.00 ± 0.00,512.6,23.575,98.04,0.46,98.04 ± 0.46,7.743,0.511
SYSTEM_PROMPT_CONTEXT_MD,llama3.1:8b,1,False,5,56.99,2.63,56.99 ± 2.63,57.83,2.79,57.83 ± 2.79,57.4,2.63,57.40 ± 2.63,88.46,0.77,88.46 ± 0.77,62.6,7.092,11.34,1.14,11.34 ± 1.14,41.0,8.631,7.43,1.52,7.43 ± 1.52,0,0.0,0.0,0.0,0.00 ± 0.00,447.8,11.345,81.23,2.16,81.23 ± 2.16,2.695,0.058
SYSTEM_PROMPT_CONTEXT_MD_SHORT,gemma3:4b,1,False,5,60.41,1.9,60.41 ± 1.90,47.92,5.13,47.92 ± 5.13,53.37,3.74,53.37 ± 3.74,87.94,1.2,87.94 ± 1.20,30.4,7.127,7.29,1.65,7.29 ± 1.65,47.2,8.136,11.36,2.11,11.36 ± 2.11,0,0.0,0.0,0.0,0.00 ± 0.00,338.8,20.981,81.3,3.55,81.30 ± 3.55,2.805,0.071
SYSTEM_PROMPT_CONTEXT_MD_SHORT,qwen3:8b,1,False,5,55.8,3.04,55.80 ± 3.04,69.17,2.93,69.17 ± 2.93,61.76,2.92,61.76 ± 2.92,87.54,1.06,87.54 ± 1.06,7.6,2.51,1.28,0.43,1.28 ± 0.43,2.4,3.209,0.39,0.51,0.39 ± 0.51,0,0.0,0.0,0.0,0.00 ± 0.00,583.8,23.102,98.29,0.73,98.29 ± 0.73,3.41,0.141
