system_prompt,model,batch_size,fuzzy_mode,n_iters,precision_pct,precision_std_pct,precision_report,recall_pct,recall_std_pct,recall_report,f1_pct,f1_std_pct,f1_report,accuracy_pct,accuracy_std_pct,accuracy_report,context_not_in_input_avg,context_not_in_input_std,context_not_in_input_rate_pct,context_not_in_input_rate_std_pct,context_not_in_input_rate_report,entity_not_in_context_avg,entity_not_in_context_std,entity_not_in_context_rate_pct,entity_not_in_context_rate_std_pct,entity_not_in_context_rate_report,fuzzy_helped_avg,fuzzy_helped_std,fuzzy_helped_rate_pct,fuzzy_helped_rate_std_pct,fuzzy_helped_rate_report,exact_match_avg,exact_match_std,exact_match_rate_pct,exact_match_rate_std_pct,exact_match_rate_report,elapsed_minute_avg,elapsed_minute_std
SYSTEM_PROMPT_CONTEXT,gemma3:4b,10,True,5,62.42,2.72,62.42 ± 2.72,50.64,1.58,50.64 ± 1.58,55.88,1.26,55.88 ± 1.26,88.19,0.54,88.19 ± 0.54,0.8,1.304,0.2,0.32,0.20 ± 0.32,25.2,4.919,6.32,1.18,6.32 ± 1.18,14.6,2.608,3.69,0.79,3.69 ± 0.79,357.8,18.939,89.79,1.8,89.79 ± 1.80,4.315,3.428
SYSTEM_PROMPT_CONTEXT,qwen3:8b,10,True,5,67.94,4.95,67.94 ± 4.95,30.71,7.84,30.71 ± 7.84,41.88,8.09,41.88 ± 8.09,87.38,1.41,87.38 ± 1.41,0.2,0.447,0.1,0.23,0.10 ± 0.23,2.0,1.871,0.88,0.79,0.88 ± 0.79,3.8,2.775,2.09,1.86,2.09 ± 1.86,190.6,46.662,94.03,1.0,94.03 ± 1.00,4.367,3.931
SYSTEM_PROMPT_CONTEXT,gpt-oss:20b,10,True,5,66.9,2.45,66.90 ± 2.45,67.17,2.15,67.17 ± 2.15,67.03,2.11,67.03 ± 2.11,92.18,1.08,92.18 ± 1.08,0.0,0.0,0.0,0.0,0.00 ± 0.00,4.2,3.962,0.97,0.92,0.97 ± 0.92,6.8,3.493,1.58,0.81,1.58 ± 0.81,417.4,16.592,97.45,1.64,97.45 ± 1.64,6.903,0.891
SYSTEM_PROMPT_CONTEXT,llama3.1:8b,10,True,5,72.27,2.12,72.27 ± 2.12,42.64,4.65,42.64 ± 4.65,53.52,3.77,53.52 ± 3.77,89.81,1.07,89.81 ± 1.07,3.0,4.062,1.09,1.46,1.09 ± 1.46,28.8,4.147,10.25,1.7,10.25 ± 1.70,11.8,3.899,4.14,1.16,4.14 ± 1.16,238.8,23.424,84.46,2.42,84.46 ± 2.42,2.456,0.167
SYSTEM_PROMPT_CONTEXT_MD,gemma3:4b,10,True,5,59.57,3.59,59.57 ± 3.59,42.08,6.43,42.08 ± 6.43,49.07,5.05,49.07 ± 5.05,86.15,1.28,86.15 ± 1.28,1.6,0.548,0.46,0.2,0.46 ± 0.20,34.8,11.432,9.38,1.97,9.38 ± 1.97,10.6,3.286,3.05,1.27,3.05 ± 1.27,317.2,49.312,87.11,1.55,87.11 ± 1.55,4.248,3.365
SYSTEM_PROMPT_CONTEXT_MD,qwen3:8b,10,True,5,71.07,4.71,71.07 ± 4.71,35.15,6.64,35.15 ± 6.64,46.75,6.26,46.75 ± 6.26,88.41,0.61,88.41 ± 0.61,0.0,0.0,0.0,0.0,0.00 ± 0.00,2.0,2.236,0.94,1.02,0.94 ± 1.02,3.2,0.837,1.53,0.53,1.53 ± 0.53,205.6,39.715,95.32,1.73,95.32 ± 1.73,2.625,0.268
SYSTEM_PROMPT_CONTEXT_MD,gpt-oss:20b,10,True,5,68.31,1.7,68.31 ± 1.70,66.81,1.77,66.81 ± 1.77,67.53,1.17,67.53 ± 1.17,92.42,0.61,92.42 ± 0.61,0.6,1.342,0.14,0.32,0.14 ± 0.32,2.4,1.673,0.58,0.4,0.58 ± 0.40,8.8,3.564,2.12,0.85,2.12 ± 0.85,402.8,5.541,97.16,1.19,97.16 ± 1.19,6.952,0.596
SYSTEM_PROMPT_CONTEXT_MD,llama3.1:8b,10,True,5,73.68,4.66,73.68 ± 4.66,35.62,5.71,35.62 ± 5.71,47.9,5.95,47.90 ± 5.95,88.62,1.21,88.62 ± 1.21,2.2,1.643,0.88,0.63,0.88 ± 0.63,27.4,7.162,11.71,2.8,11.71 ± 2.80,15.6,6.731,6.97,3.42,6.97 ± 3.42,188.6,32.292,80.35,4.15,80.35 ± 4.15,2.385,0.248
SYSTEM_PROMPT_CONTEXT_MD_SHORT,gemma3:4b,10,True,5,60.4,2.93,60.40 ± 2.93,39.73,2.52,39.73 ± 2.52,47.84,1.29,47.84 ± 1.29,86.88,0.73,86.88 ± 0.73,1.2,1.095,0.38,0.37,0.38 ± 0.37,41.0,14.071,12.15,3.44,12.15 ± 3.44,14.8,3.633,4.46,1.08,4.46 ± 1.08,276.2,23.382,83.01,2.57,83.01 ± 2.57,4.142,3.4
SYSTEM_PROMPT_CONTEXT_MD_SHORT,qwen3:8b,10,True,5,69.75,2.91,69.75 ± 2.91,26.01,7.19,26.01 ± 7.19,37.5,7.69,37.50 ± 7.69,87.1,1.16,87.10 ± 1.16,0.2,0.447,0.14,0.3,0.14 ± 0.30,0.4,0.548,0.28,0.4,0.28 ± 0.40,1.4,0.548,0.93,0.42,0.93 ± 0.42,155.8,42.139,97.82,0.9,97.82 ± 0.90,2.66,0.354
SYSTEM_PROMPT_CONTEXT_MD_SHORT,gpt-oss:20b,10,True,5,71.17,2.16,71.17 ± 2.16,66.02,1.02,66.02 ± 1.02,68.49,1.38,68.49 ± 1.38,93.18,0.97,93.18 ± 0.97,0.0,0.0,0.0,0.0,0.00 ± 0.00,1.8,0.837,0.46,0.22,0.46 ± 0.22,6.8,2.168,1.74,0.59,1.74 ± 0.59,384.8,17.123,97.8,0.79,97.80 ± 0.79,6.989,0.534
SYSTEM_PROMPT_CONTEXT_MD_SHORT,llama3.1:8b,10,True,5,75.72,2.62,75.72 ± 2.62,43.54,5.58,43.54 ± 5.58,55.18,5.17,55.18 ± 5.17,90.24,1.24,90.24 ± 1.24,1.6,1.14,0.62,0.45,0.62 ± 0.45,21.8,6.058,8.18,2.11,8.18 ± 2.11,16.8,7.563,6.28,2.58,6.28 ± 2.58,226.4,28.962,84.92,4.03,84.92 ± 4.03,2.229,0.232
