                 system_prompt       model  batch_size  fuzzy_mode  n_iters  precision  recall      f1  accuracy  context_not_in_input_avg  context_not_in_input_rate_avg  entity_not_in_context_avg  entity_not_in_context_rate_avg  fuzzy_helped_avg  fuzzy_helped_rate_avg  exact_match_avg  exact_match_rate_avg  elapsed_minute
         SYSTEM_PROMPT_CONTEXT   gemma3:4b          64        True        1    0.67763 0.04981 0.09279   0.83241                       4.0                        0.02105                       25.0                         0.13158              16.0                0.08421            145.0               0.76316          58.009
         SYSTEM_PROMPT_CONTEXT    qwen3:8b          64        True        1    0.72470 0.08656 0.15464   0.83953                       2.0                        0.00717                        6.0                         0.02151              10.0                0.03584            261.0               0.93548          88.688
         SYSTEM_PROMPT_CONTEXT gpt-oss:20b          64        True        1    0.75949 0.08704 0.15618   0.84176                       0.0                        0.00000                        0.0                         0.00000               0.0                0.00000            237.0               1.00000           3.582
         SYSTEM_PROMPT_CONTEXT llama3.1:8b          64        True        1    0.00000 0.00000 0.00000   0.82559                       0.0                        0.00000                        0.0                         0.00000               0.0                0.00000              0.0               0.00000          22.011
      SYSTEM_PROMPT_CONTEXT_MD   gemma3:4b          64        True        1    0.65556 0.02853 0.05468   0.82912                       7.0                        0.05983                       17.0                         0.14530               7.0                0.05983             86.0               0.73504          71.866
      SYSTEM_PROMPT_CONTEXT_MD    qwen3:8b          64        True        1    0.75369 0.07398 0.13474   0.83753                       1.0                        0.00483                        0.0                         0.00000               5.0                0.02415            201.0               0.97101          45.873
      SYSTEM_PROMPT_CONTEXT_MD gpt-oss:20b          64        True        1    0.75848 0.18375 0.29583   0.85892                       2.0                        0.00391                        3.0                         0.00586               7.0                0.01367            500.0               0.97656           5.157
      SYSTEM_PROMPT_CONTEXT_MD llama3.1:8b          64        True        1    0.00000 0.00000 0.00000   0.82559                       0.0                        0.00000                        0.0                         0.00000               0.0                0.00000              0.0               0.00000           8.921
SYSTEM_PROMPT_CONTEXT_MD_SHORT   gemma3:4b          64        True        1    0.69565 0.03868 0.07329   0.83124                       4.0                        0.02105                       66.0                         0.34737              17.0                0.08947            103.0               0.54211          53.259
SYSTEM_PROMPT_CONTEXT_MD_SHORT    qwen3:8b          64        True        1    0.68421 0.03772 0.07149   0.83177                       0.0                        0.00000                        1.0                         0.00826               1.0                0.00826            119.0               0.98347          93.275
SYSTEM_PROMPT_CONTEXT_MD_SHORT gpt-oss:20b          64        True        1    0.72319 0.24130 0.36186   0.86992                       1.0                        0.00142                        1.0                         0.00142               6.0                0.00853            695.0               0.98862           7.950
SYSTEM_PROMPT_CONTEXT_MD_SHORT llama3.1:8b          64        True        1    0.70370 0.00919 0.01814   0.82706                       0.0                        0.00000                       13.0                         0.32500               1.0                0.02500             26.0               0.65000          18.499
