system_prompt,model,fuzzy_mode,n_iters,char_f1_pct,char_f1_std_pct,char_f1_report,char_precision_pct,char_precision_std_pct,char_precision_report,char_recall_pct,char_recall_std_pct,char_recall_report,context_not_in_input_avg,context_not_in_input_std,context_not_in_input_rate_pct,context_not_in_input_rate_std,entity_not_in_context_avg,entity_not_in_context_std,entity_not_in_context_rate_pct,entity_not_in_context_rate_std,fuzzy_helped_avg,fuzzy_helped_std,fuzzy_helped_rate_pct,fuzzy_helped_rate_std,exact_match_avg,exact_match_std,exact_match_rate_pct,exact_match_rate_std,elapsed_minute_avg,elapsed_minute_std
SYSTEM_PROMPT_TOXIC_SPANS,gemma3:4b,True,5,30.49,3.53,30.49 ± 3.53,29.11,3.33,29.11 ± 3.33,36.34,4.57,36.34 ± 4.57,3.8,1.924,1.6,0.81,49.2,5.718,20.66,2.57,27.6,6.542,11.58,2.74,157.8,10.64,66.17,3.69,2.215,0.044
SYSTEM_PROMPT_TOXIC_SPANS,qwen3:8b,True,5,34.76,4.11,34.76 ± 4.11,31.65,3.93,31.65 ± 3.93,43.99,4.69,43.99 ± 4.69,0.4,0.548,0.14,0.2,1.8,1.924,0.65,0.7,5.8,1.643,2.09,0.6,270.0,7.778,97.11,0.95,6.619,7.341
SYSTEM_PROMPT_TOXIC_SPANS,gpt-oss:20b,True,5,34.45,3.06,34.45 ± 3.06,31.24,3.24,31.24 ± 3.24,45.46,4.11,45.46 ± 4.11,0.2,0.447,0.09,0.21,1.6,1.14,0.73,0.51,4.2,1.924,1.97,0.9,207.8,7.085,97.2,1.06,5.376,0.466
SYSTEM_PROMPT_TOXIC_SPANS,llama3.1:8b,True,5,29.2,3.14,29.20 ± 3.14,25.96,2.78,25.96 ± 2.78,38.46,4.49,38.46 ± 4.49,3.8,1.304,1.19,0.41,62.8,4.266,19.67,1.29,32.6,4.336,10.21,1.36,220.0,4.528,68.92,0.98,2.456,0.045
SYSTEM_PROMPT_TOXIC_SPANS_MD,gemma3:4b,True,5,36.16,2.08,36.16 ± 2.08,35.83,2.03,35.83 ± 2.03,39.17,2.15,39.17 ± 2.15,5.2,1.483,2.78,0.82,66.4,4.669,35.45,3.28,18.8,2.95,10.02,1.51,96.2,8.899,51.22,3.59,2.031,0.083
SYSTEM_PROMPT_TOXIC_SPANS_MD,qwen3:8b,True,5,34.67,3.52,34.67 ± 3.52,31.51,3.5,31.51 ± 3.50,45.04,4.16,45.04 ± 4.16,2.0,1.414,0.63,0.41,3.8,1.095,1.25,0.38,5.4,3.286,1.77,1.0,293.8,19.486,96.29,1.22,5.894,4.739
SYSTEM_PROMPT_TOXIC_SPANS_MD,gpt-oss:20b,True,5,38.39,2.93,38.39 ± 2.93,35.32,2.53,35.32 ± 2.53,47.86,4.99,47.86 ± 4.99,0.2,0.447,0.09,0.2,1.0,1.225,0.47,0.59,3.6,2.074,1.64,0.9,212.2,6.76,97.8,1.09,5.951,0.455
SYSTEM_PROMPT_TOXIC_SPANS_MD,llama3.1:8b,True,5,40.67,1.55,40.67 ± 1.55,38.34,2.07,38.34 ± 2.07,47.0,0.99,47.00 ± 0.99,4.0,2.0,1.97,0.9,28.0,5.788,14.1,3.62,21.2,8.228,10.39,3.6,147.6,10.738,73.54,0.97,2.012,0.081
SYSTEM_PROMPT_TOXIC_SPANS_MD_SHORT,gemma3:4b,True,5,38.88,2.24,38.88 ± 2.24,37.92,2.49,37.92 ± 2.49,42.1,1.92,42.10 ± 1.92,3.8,1.789,1.87,0.87,101.4,5.128,49.7,2.57,22.0,2.0,10.78,0.96,75.6,8.961,36.94,3.03,1.974,0.068
SYSTEM_PROMPT_TOXIC_SPANS_MD_SHORT,qwen3:8b,True,5,34.91,1.7,34.91 ± 1.70,31.79,1.75,31.79 ± 1.75,44.8,2.15,44.80 ± 2.15,0.2,0.447,0.07,0.16,2.2,2.168,0.75,0.74,3.8,2.168,1.31,0.77,286.0,10.954,97.66,1.17,2.455,0.043
SYSTEM_PROMPT_TOXIC_SPANS_MD_SHORT,gpt-oss:20b,True,5,37.65,2.26,37.65 ± 2.26,34.85,1.99,34.85 ± 1.99,46.88,4.02,46.88 ± 4.02,0.4,0.548,0.19,0.26,2.0,1.871,0.96,0.89,5.0,1.0,2.43,0.41,197.6,6.025,96.42,1.39,5.929,0.534
SYSTEM_PROMPT_TOXIC_SPANS_MD_SHORT,llama3.1:8b,True,5,31.81,3.25,31.81 ± 3.25,29.21,2.76,29.21 ± 2.76,39.79,4.4,39.79 ± 4.40,3.6,0.894,1.18,0.3,66.2,7.791,21.6,2.43,20.0,3.464,6.53,1.15,216.6,11.014,70.69,3.08,2.372,0.091
