model,dataset,reasoning_enabled,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,char_f1_report,char_precision_report,char_recall_report,macro_hard_precision_report,macro_hard_recall_report,macro_hard_f1_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,predicted_spans_avg,predicted_spans_std,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
Qwen/Qwen3-8B,wmt_en-cs-literary,False,n|a,,sampling,True,unconstrained,n|a,1,15,18000,42,1,22.53 ± 0.00,24.68 ± 0.00,29.66 ± 0.00,13.07 ± 0.00,18.16 ± 0.00,13.80 ± 0.00,10.45 ± 0.00,11.92 ± 0.00,11.14 ± 0.00,21.38 ± 0.00,24.39 ± 0.00,22.78 ± 0.00,3,0.0,20.00 ± 0.00,28,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,1.348,0.0
Qwen/Qwen3-8B,wmt_en-cs-literary,False,n|a,,sampling,True,constrained,token_aware,1,15,18000,42,1,29.13 ± 0.00,28.87 ± 0.00,45.26 ± 0.00,18.63 ± 0.00,32.95 ± 0.00,21.67 ± 0.00,14.29 ± 0.00,27.10 ± 0.00,18.71 ± 0.00,21.57 ± 0.00,40.92 ± 0.00,28.25 ± 0.00,0,0.0,0.00 ± 0.00,35,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,1.409,0.0
Qwen/Qwen3-8B,wmt_en-ru-literary,False,n|a,,sampling,True,unconstrained,n|a,1,15,18000,42,1,6.37 ± 0.00,9.09 ± 0.00,9.36 ± 0.00,8.48 ± 0.00,7.36 ± 0.00,5.44 ± 0.00,11.55 ± 0.00,3.54 ± 0.00,5.41 ± 0.00,13.72 ± 0.00,4.20 ± 0.00,6.43 ± 0.00,2,0.0,13.33 ± 0.00,33,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,1.719,0.0
Qwen/Qwen3-8B,wmt_en-ru-literary,False,n|a,,sampling,True,constrained,token_aware,1,15,18000,42,1,13.52 ± 0.00,22.99 ± 0.00,18.07 ± 0.00,12.57 ± 0.00,2.65 ± 0.00,4.33 ± 0.00,12.46 ± 0.00,4.20 ± 0.00,6.28 ± 0.00,26.23 ± 0.00,8.84 ± 0.00,13.22 ± 0.00,0,0.0,0.00 ± 0.00,32,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,1.734,0.0
Qwen/Qwen3-8B,wmt_en-ru-social,False,n|a,,sampling,True,unconstrained,n|a,1,15,18000,42,1,14.36 ± 0.00,17.43 ± 0.00,22.45 ± 0.00,9.05 ± 0.00,3.75 ± 0.00,3.96 ± 0.00,7.78 ± 0.00,7.18 ± 0.00,7.47 ± 0.00,24.78 ± 0.00,22.87 ± 0.00,23.79 ± 0.00,2,0.0,13.33 ± 0.00,32,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,0.621,0.0
Qwen/Qwen3-8B,wmt_en-ru-social,False,n|a,,sampling,True,constrained,token_aware,1,15,18000,42,1,24.23 ± 0.00,25.81 ± 0.00,33.84 ± 0.00,12.66 ± 0.00,7.22 ± 0.00,7.53 ± 0.00,12.64 ± 0.00,14.89 ± 0.00,13.68 ± 0.00,31.83 ± 0.00,37.50 ± 0.00,34.43 ± 0.00,0,0.0,0.00 ± 0.00,34,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,0.65,0.0
Qwen/Qwen3-8B,wmt_en-zh-social,False,n|a,,sampling,True,unconstrained,n|a,1,15,18000,42,1,20.64 ± 0.00,21.63 ± 0.00,26.22 ± 0.00,21.63 ± 0.00,26.22 ± 0.00,20.64 ± 0.00,24.72 ± 0.00,15.28 ± 0.00,18.88 ± 0.00,24.72 ± 0.00,15.28 ± 0.00,18.88 ± 0.00,6,0.0,40.00 ± 0.00,24,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,0.435,0.0
Qwen/Qwen3-8B,wmt_en-zh-social,False,n|a,,sampling,True,constrained,token_aware,1,15,18000,42,1,40.12 ± 0.00,46.43 ± 0.00,42.58 ± 0.00,29.10 ± 0.00,32.88 ± 0.00,27.85 ± 0.00,25.58 ± 0.00,22.92 ± 0.00,24.18 ± 0.00,36.43 ± 0.00,32.64 ± 0.00,34.43 ± 0.00,0,0.0,0.00 ± 0.00,24,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,0.439,0.0
Qwen/Qwen3-8B,wmt_en-ja-social,False,n|a,,sampling,True,unconstrained,n|a,1,15,18000,42,1,25.94 ± 0.00,31.58 ± 0.00,27.82 ± 0.00,23.08 ± 0.00,21.15 ± 0.00,21.98 ± 0.00,11.40 ± 0.00,17.81 ± 0.00,13.90 ± 0.00,17.54 ± 0.00,27.40 ± 0.00,21.39 ± 0.00,5,0.0,38.46 ± 0.00,21,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,0.447,0.0
Qwen/Qwen3-8B,wmt_en-ja-social,False,n|a,,sampling,True,constrained,token_aware,1,15,18000,42,1,33.55 ± 0.00,38.60 ± 0.00,39.45 ± 0.00,28.60 ± 0.00,34.62 ± 0.00,28.27 ± 0.00,12.31 ± 0.00,21.92 ± 0.00,15.76 ± 0.00,16.92 ± 0.00,30.14 ± 0.00,21.67 ± 0.00,0,0.0,0.00 ± 0.00,17,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,0.408,0.0
