model,dataset,reasoning_enabled,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,char_f1_report,char_precision_report,char_recall_report,macro_hard_precision_report,macro_hard_recall_report,macro_hard_f1_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,predicted_spans_avg,predicted_spans_std,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
google/gemma-4-E2B-it,wmt_en-cs-literary,False,n|a,,sampling,True,unconstrained,n|a,1,15,18000,42,1,12.22 ± 0.00,11.43 ± 0.00,13.33 ± 0.00,11.43 ± 0.00,13.33 ± 0.00,12.22 ± 0.00,65.00 ± 0.00,3.52 ± 0.00,6.68 ± 0.00,65.00 ± 0.00,3.52 ± 0.00,6.68 ± 0.00,2,0.0,13.33 ± 0.00,3,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,1.004,0.0
google/gemma-4-E2B-it,wmt_en-cs-literary,False,n|a,,sampling,True,constrained,token_aware,1,15,18000,42,1,13.61 ± 0.00,13.75 ± 0.00,14.32 ± 0.00,13.75 ± 0.00,14.32 ± 0.00,13.61 ± 0.00,13.13 ± 0.00,5.69 ± 0.00,7.94 ± 0.00,13.13 ± 0.00,5.69 ± 0.00,7.94 ± 0.00,0,0.0,0.00 ± 0.00,9,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,1.129,0.0
google/gemma-4-E2B-it,wmt_en-ru-literary,False,n|a,,sampling,True,unconstrained,n|a,1,15,18000,42,1,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,8,0.0,53.33 ± 0.00,0,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,1.476,0.0
google/gemma-4-E2B-it,wmt_en-ru-literary,False,n|a,,sampling,True,constrained,token_aware,1,15,18000,42,1,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0,0.0,0.00 ± 0.00,1,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,1.504,0.0
google/gemma-4-E2B-it,wmt_en-ru-social,False,n|a,,sampling,True,unconstrained,n|a,1,15,18000,42,1,6.67 ± 0.00,6.67 ± 0.00,6.67 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00,2.66 ± 0.00,5.18 ± 0.00,4,0.0,26.67 ± 0.00,4,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,0.383,0.0
google/gemma-4-E2B-it,wmt_en-ru-social,False,n|a,,sampling,True,constrained,token_aware,1,15,18000,42,1,5.71 ± 0.00,9.12 ± 0.00,5.23 ± 0.00,2.46 ± 0.00,3.41 ± 0.00,2.86 ± 0.00,20.00 ± 0.00,5.59 ± 0.00,8.73 ± 0.00,31.43 ± 0.00,8.78 ± 0.00,13.72 ± 0.00,0,0.0,0.00 ± 0.00,5,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,0.391,0.0
google/gemma-4-E2B-it,wmt_en-zh-social,False,n|a,,sampling,True,unconstrained,n|a,1,15,18000,42,1,4.00 ± 0.00,6.67 ± 0.00,2.86 ± 0.00,6.67 ± 0.00,2.86 ± 0.00,4.00 ± 0.00,100.00 ± 0.00,2.08 ± 0.00,4.08 ± 0.00,100.00 ± 0.00,2.08 ± 0.00,4.08 ± 0.00,4,0.0,26.67 ± 0.00,2,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,0.299,0.0
google/gemma-4-E2B-it,wmt_en-zh-social,False,n|a,,sampling,True,constrained,token_aware,1,15,18000,42,1,4.00 ± 0.00,6.67 ± 0.00,2.86 ± 0.00,6.67 ± 0.00,2.86 ± 0.00,4.00 ± 0.00,25.00 ± 0.00,2.08 ± 0.00,3.85 ± 0.00,25.00 ± 0.00,2.08 ± 0.00,3.85 ± 0.00,0,0.0,0.00 ± 0.00,2,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,0.3,0.0
google/gemma-4-E2B-it,wmt_en-ja-social,False,n|a,,sampling,True,unconstrained,n|a,1,15,18000,42,1,12.55 ± 0.00,9.78 ± 0.00,20.51 ± 0.00,6.32 ± 0.00,10.26 ± 0.00,7.79 ± 0.00,24.00 ± 0.00,8.22 ± 0.00,12.24 ± 0.00,40.00 ± 0.00,13.70 ± 0.00,20.41 ± 0.00,0,0.0,0.00 ± 0.00,4,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,0.314,0.0
google/gemma-4-E2B-it,wmt_en-ja-social,False,n|a,,sampling,True,constrained,token_aware,1,15,18000,42,1,8.95 ± 0.00,6.84 ± 0.00,15.38 ± 0.00,5.13 ± 0.00,7.69 ± 0.00,6.15 ± 0.00,26.67 ± 0.00,5.48 ± 0.00,9.09 ± 0.00,40.00 ± 0.00,8.22 ± 0.00,13.64 ± 0.00,0,0.0,0.00 ± 0.00,2,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,0.299,0.0
