model,dataset,reasoning_enabled,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,char_f1_report,char_precision_report,char_recall_report,macro_hard_precision_report,macro_hard_recall_report,macro_hard_f1_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,predicted_spans_avg,predicted_spans_std,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
Qwen/Qwen3-8B,wmt_en-is-literary,False,n|a,,sampling,True,unconstrained,n|a,1,15,18000,42,1,15.42 ± 0.00,17.33 ± 0.00,16.10 ± 0.00,8.18 ± 0.00,5.74 ± 0.00,5.79 ± 0.00,9.16 ± 0.00,7.99 ± 0.00,8.53 ± 0.00,14.18 ± 0.00,12.37 ± 0.00,13.21 ± 0.00,3,0.0,20.00 ± 0.00,40,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,1.785,0.0
Qwen/Qwen3-8B,wmt_en-is-literary,False,n|a,,sampling,True,constrained,token_aware,1,15,18000,42,1,22.58 ± 0.00,25.03 ± 0.00,28.47 ± 0.00,13.13 ± 0.00,17.78 ± 0.00,12.58 ± 0.00,17.27 ± 0.00,17.91 ± 0.00,17.58 ± 0.00,21.61 ± 0.00,22.42 ± 0.00,22.01 ± 0.00,0,0.0,0.00 ± 0.00,38,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,1.777,0.0
Qwen/Qwen3-8B,wmt_en-es-social,False,n|a,,sampling,True,unconstrained,n|a,1,15,18000,42,1,11.53 ± 0.00,15.12 ± 0.00,14.46 ± 0.00,4.96 ± 0.00,9.67 ± 0.00,5.08 ± 0.00,10.34 ± 0.00,14.72 ± 0.00,12.15 ± 0.00,15.12 ± 0.00,21.51 ± 0.00,17.76 ± 0.00,2,0.0,13.33 ± 0.00,24,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,0.75,0.0
Qwen/Qwen3-8B,wmt_en-es-social,False,n|a,,sampling,True,constrained,token_aware,1,15,18000,42,1,20.42 ± 0.00,23.73 ± 0.00,34.46 ± 0.00,10.47 ± 0.00,16.34 ± 0.00,10.17 ± 0.00,11.09 ± 0.00,19.62 ± 0.00,14.17 ± 0.00,17.27 ± 0.00,30.57 ± 0.00,22.07 ± 0.00,0,0.0,0.00 ± 0.00,27,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,0.806,0.0
Qwen/Qwen3-8B,wmt_en-uk-social,False,n|a,,sampling,True,unconstrained,n|a,1,15,18000,42,1,16.43 ± 0.00,12.98 ± 0.00,23.06 ± 0.00,9.49 ± 0.00,16.54 ± 0.00,11.89 ± 0.00,16.93 ± 0.00,34.39 ± 0.00,22.69 ± 0.00,23.98 ± 0.00,48.73 ± 0.00,32.14 ± 0.00,1,0.0,6.67 ± 0.00,36,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,1.179,0.0
Qwen/Qwen3-8B,wmt_en-uk-social,False,n|a,,sampling,True,constrained,token_aware,1,15,18000,42,1,17.66 ± 0.00,13.65 ± 0.00,28.28 ± 0.00,10.12 ± 0.00,21.76 ± 0.00,13.08 ± 0.00,16.27 ± 0.00,36.62 ± 0.00,22.53 ± 0.00,22.63 ± 0.00,50.96 ± 0.00,31.34 ± 0.00,0,0.0,0.00 ± 0.00,38,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,1.22,0.0
Qwen/Qwen3-8B,wmt_en-hi-news,False,n|a,,sampling,True,unconstrained,n|a,1,15,18000,42,1,8.49 ± 0.00,5.05 ± 0.00,32.28 ± 0.00,4.32 ± 0.00,25.83 ± 0.00,7.18 ± 0.00,4.76 ± 0.00,15.64 ± 0.00,7.30 ± 0.00,5.95 ± 0.00,19.54 ± 0.00,9.13 ± 0.00,2,0.0,13.33 ± 0.00,35,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,3.52,0.0
Qwen/Qwen3-8B,wmt_en-hi-news,False,n|a,,sampling,True,constrained,token_aware,1,15,18000,42,1,6.30 ± 0.00,5.76 ± 0.00,23.15 ± 0.00,3.52 ± 0.00,13.02 ± 0.00,3.79 ± 0.00,2.47 ± 0.00,9.12 ± 0.00,3.89 ± 0.00,4.33 ± 0.00,15.96 ± 0.00,6.81 ± 0.00,0,0.0,0.00 ± 0.00,31,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,3.585,0.0
Qwen/Qwen3-8B,wmt_en-zh-news,False,n|a,,sampling,True,unconstrained,n|a,1,15,18000,42,1,7.27 ± 0.00,4.60 ± 0.00,17.50 ± 0.00,2.77 ± 0.00,10.14 ± 0.00,4.35 ± 0.00,7.31 ± 0.00,6.06 ± 0.00,6.63 ± 0.00,13.70 ± 0.00,11.36 ± 0.00,12.42 ± 0.00,8,0.0,66.67 ± 0.00,33,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,1.086,0.0
Qwen/Qwen3-8B,wmt_en-zh-news,False,n|a,,sampling,True,constrained,token_aware,1,15,18000,42,1,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0,0.0,0.00 ± 0.00,8,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,0.802,0.0
