model,dataset,reasoning_enabled,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,char_f1_report,char_precision_report,char_recall_report,macro_hard_precision_report,macro_hard_recall_report,macro_hard_f1_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,predicted_spans_avg,predicted_spans_std,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
google/gemma-4-E2B-it,wmt_en-is-literary,True,n|a,,sampling,True,unconstrained,n|a,1,15,18000,42,1,12.18 ± 0.00,23.83 ± 0.00,9.60 ± 0.00,10.50 ± 0.00,4.31 ± 0.00,5.34 ± 0.00,17.89 ± 0.00,2.84 ± 0.00,4.89 ± 0.00,43.09 ± 0.00,6.83 ± 0.00,11.79 ± 0.00,5,0.0,33.33 ± 0.00,9,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,1139.2,0.0,17.249,0.0
google/gemma-4-E2B-it,wmt_en-is-literary,True,n|a,,sampling,True,constrained,token_aware,1,15,18000,42,1,13.07 ± 0.00,18.13 ± 0.00,15.55 ± 0.00,11.87 ± 0.00,12.98 ± 0.00,9.94 ± 0.00,11.22 ± 0.00,10.18 ± 0.00,10.68 ± 0.00,16.76 ± 0.00,15.21 ± 0.00,15.95 ± 0.00,0,0.0,0.00 ± 0.00,21,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,1077.2,0.0,16.171,0.0
google/gemma-4-E2B-it,wmt_en-es-social,True,n|a,,sampling,True,unconstrained,n|a,1,15,18000,42,1,13.17 ± 0.00,15.64 ± 0.00,12.08 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,42.37 ± 0.00,18.87 ± 0.00,26.11 ± 0.00,5,0.0,33.33 ± 0.00,12,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,734.533,0.0,10.518,0.0
google/gemma-4-E2B-it,wmt_en-es-social,True,n|a,,sampling,True,constrained,token_aware,1,15,18000,42,1,19.65 ± 0.00,24.24 ± 0.00,29.54 ± 0.00,14.41 ± 0.00,13.85 ± 0.00,10.14 ± 0.00,10.44 ± 0.00,23.40 ± 0.00,14.44 ± 0.00,18.69 ± 0.00,41.89 ± 0.00,25.84 ± 0.00,0,0.0,0.00 ± 0.00,16,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,777.733,0.0,11.295,0.0
google/gemma-4-E2B-it,wmt_en-uk-social,True,n|a,,sampling,True,unconstrained,n|a,1,15,18000,42,1,7.71 ± 0.00,8.27 ± 0.00,10.83 ± 0.00,1.60 ± 0.00,6.67 ± 0.00,2.58 ± 0.00,8.39 ± 0.00,3.82 ± 0.00,5.25 ± 0.00,11.89 ± 0.00,5.41 ± 0.00,7.44 ± 0.00,4,0.0,26.67 ± 0.00,7,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,808.933,0.0,11.707,0.0
google/gemma-4-E2B-it,wmt_en-uk-social,True,n|a,,sampling,True,constrained,token_aware,1,15,18000,42,1,18.86 ± 0.00,19.70 ± 0.00,23.13 ± 0.00,7.46 ± 0.00,14.30 ± 0.00,8.76 ± 0.00,16.07 ± 0.00,20.06 ± 0.00,17.85 ± 0.00,25.26 ± 0.00,31.53 ± 0.00,28.05 ± 0.00,0,0.0,0.00 ± 0.00,9,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,717.333,0.0,10.519,0.0
google/gemma-4-E2B-it,wmt_en-hi-news,True,n|a,,sampling,True,unconstrained,n|a,1,15,18000,42,1,3.09 ± 0.00,6.48 ± 0.00,2.03 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,18.23 ± 0.00,11.40 ± 0.00,14.03 ± 0.00,6,0.0,40.00 ± 0.00,11,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,1035.733,0.0,15.184,0.0
google/gemma-4-E2B-it,wmt_en-hi-news,True,n|a,,sampling,True,constrained,token_aware,1,15,18000,42,1,3.77 ± 0.00,2.30 ± 0.00,23.51 ± 0.00,1.10 ± 0.00,12.79 ± 0.00,1.84 ± 0.00,2.15 ± 0.00,9.12 ± 0.00,3.48 ± 0.00,5.60 ± 0.00,23.78 ± 0.00,9.07 ± 0.00,0,0.0,0.00 ± 0.00,9,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,994.667,0.0,14.644,0.0
google/gemma-4-E2B-it,wmt_en-zh-news,True,n|a,,sampling,True,unconstrained,n|a,1,15,18000,42,1,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,5,0.0,41.67 ± 0.00,1,0.0,0,0.0,0.00 ± 0.00,1,8.33 ± 0.00,1059.0,0.0,12.851,0.0
google/gemma-4-E2B-it,wmt_en-zh-news,True,n|a,,sampling,True,constrained,token_aware,1,15,18000,42,1,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0,0.0,0.00 ± 0.00,4,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,980.583,0.0,11.736,0.0
