model,dataset,reasoning_enabled,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,char_f1_report,char_precision_report,char_recall_report,macro_hard_precision_report,macro_hard_recall_report,macro_hard_f1_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,predicted_spans_avg,predicted_spans_std,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
openai/gpt-oss-20b,wmt_en-is-literary,True,low,,sampling,True,unconstrained,n|a,1,15,16000,42,1,12.84 ± 0.00,9.45 ± 0.00,24.72 ± 0.00,4.03 ± 0.00,8.89 ± 0.00,5.27 ± 0.00,11.00 ± 0.00,9.54 ± 0.00,10.21 ± 0.00,24.96 ± 0.00,21.65 ± 0.00,23.19 ± 0.00,8,0.0,53.33 ± 0.00,70,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,364.667,0.0,3.622,0.0
openai/gpt-oss-20b,wmt_en-is-literary,True,low,,sampling,True,constrained,token_aware,1,15,16000,42,1,21.73 ± 0.00,16.15 ± 0.00,44.25 ± 0.00,10.74 ± 0.00,29.42 ± 0.00,14.64 ± 0.00,14.03 ± 0.00,35.70 ± 0.00,20.15 ± 0.00,21.28 ± 0.00,54.12 ± 0.00,30.55 ± 0.00,0,0.0,0.00 ± 0.00,68,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,394.267,0.0,3.807,0.0
openai/gpt-oss-20b,wmt_en-es-social,True,low,,sampling,True,unconstrained,n|a,1,15,16000,42,1,25.72 ± 0.00,25.42 ± 0.00,31.37 ± 0.00,8.43 ± 0.00,9.20 ± 0.00,8.75 ± 0.00,11.25 ± 0.00,16.98 ± 0.00,13.53 ± 0.00,37.25 ± 0.00,56.23 ± 0.00,44.81 ± 0.00,3,0.0,20.00 ± 0.00,19,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,269.333,0.0,2.225,0.0
openai/gpt-oss-20b,wmt_en-es-social,True,low,,sampling,True,constrained,token_aware,1,15,16000,42,1,16.01 ± 0.00,13.89 ± 0.00,35.89 ± 0.00,3.00 ± 0.00,8.62 ± 0.00,3.75 ± 0.00,4.19 ± 0.00,13.21 ± 0.00,6.36 ± 0.00,13.05 ± 0.00,41.13 ± 0.00,19.82 ± 0.00,0,0.0,0.00 ± 0.00,23,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,215.0,0.0,1.929,0.0
openai/gpt-oss-20b,wmt_en-uk-social,True,low,,sampling,True,unconstrained,n|a,1,15,16000,42,1,24.87 ± 0.00,24.75 ± 0.00,32.58 ± 0.00,12.32 ± 0.00,21.40 ± 0.00,15.59 ± 0.00,22.26 ± 0.00,22.61 ± 0.00,22.43 ± 0.00,39.50 ± 0.00,40.13 ± 0.00,39.81 ± 0.00,4,0.0,26.67 ± 0.00,25,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,314.467,0.0,2.711,0.0
openai/gpt-oss-20b,wmt_en-uk-social,True,low,,sampling,True,constrained,token_aware,1,15,16000,42,1,24.29 ± 0.00,26.47 ± 0.00,28.58 ± 0.00,19.75 ± 0.00,16.77 ± 0.00,16.97 ± 0.00,20.10 ± 0.00,25.80 ± 0.00,22.59 ± 0.00,27.79 ± 0.00,35.67 ± 0.00,31.24 ± 0.00,0,0.0,0.00 ± 0.00,20,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,287.067,0.0,2.508,0.0
openai/gpt-oss-20b,wmt_en-hi-news,True,low,,sampling,True,unconstrained,n|a,1,15,16000,42,1,7.88 ± 0.00,6.03 ± 0.00,16.08 ± 0.00,0.81 ± 0.00,6.67 ± 0.00,1.45 ± 0.00,1.55 ± 0.00,1.63 ± 0.00,1.59 ± 0.00,14.29 ± 0.00,14.98 ± 0.00,14.63 ± 0.00,8,0.0,53.33 ± 0.00,26,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,401.667,0.0,3.632,0.0
openai/gpt-oss-20b,wmt_en-hi-news,True,low,,sampling,True,constrained,token_aware,1,15,16000,42,1,9.11 ± 0.00,8.95 ± 0.00,28.28 ± 0.00,7.31 ± 0.00,11.83 ± 0.00,6.17 ± 0.00,6.10 ± 0.00,20.52 ± 0.00,9.41 ± 0.00,8.33 ± 0.00,28.01 ± 0.00,12.85 ± 0.00,0,0.0,0.00 ± 0.00,27,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,383.667,0.0,3.497,0.0
openai/gpt-oss-20b,wmt_en-zh-news,True,low,,sampling,True,unconstrained,n|a,1,15,16000,42,1,15.83 ± 0.00,15.96 ± 0.00,26.17 ± 0.00,11.28 ± 0.00,20.83 ± 0.00,12.12 ± 0.00,21.59 ± 0.00,21.59 ± 0.00,21.59 ± 0.00,25.76 ± 0.00,25.76 ± 0.00,25.76 ± 0.00,1,0.0,8.33 ± 0.00,23,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,369.5,0.0,2.755,0.0
openai/gpt-oss-20b,wmt_en-zh-news,True,low,,sampling,True,constrained,token_aware,1,15,16000,42,1,10.84 ± 0.00,9.14 ± 0.00,21.22 ± 0.00,3.18 ± 0.00,4.55 ± 0.00,2.83 ± 0.00,3.06 ± 0.00,4.92 ± 0.00,3.77 ± 0.00,16.47 ± 0.00,26.52 ± 0.00,20.32 ± 0.00,0,0.0,0.00 ± 0.00,25,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,383.25,0.0,2.841,0.0
