model,dataset,reasoning_enabled,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,char_f1_report,char_precision_report,char_recall_report,macro_hard_precision_report,macro_hard_recall_report,macro_hard_f1_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,predicted_spans_avg,predicted_spans_std,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
google/gemma-4-E2B-it,wmt_en-is-social,True,n|a,,sampling,True,unconstrained,n|a,1,15,18000,42,1,16.73 ± 0.00,24.65 ± 0.00,16.50 ± 0.00,8.89 ± 0.00,10.30 ± 0.00,8.04 ± 0.00,23.53 ± 0.00,4.98 ± 0.00,8.21 ± 0.00,64.71 ± 0.00,13.68 ± 0.00,22.59 ± 0.00,4,0.0,26.67 ± 0.00,8,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,760.6,0.0,9.247,0.0
google/gemma-4-E2B-it,wmt_en-is-social,True,n|a,,sampling,True,constrained,token_aware,1,15,18000,42,1,14.01 ± 0.00,18.40 ± 0.00,20.00 ± 0.00,3.06 ± 0.00,13.33 ± 0.00,4.81 ± 0.00,8.57 ± 0.00,2.24 ± 0.00,3.55 ± 0.00,43.81 ± 0.00,11.44 ± 0.00,18.15 ± 0.00,0,0.0,0.00 ± 0.00,6,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,794.733,0.0,9.629,0.0
google/gemma-4-E2B-it,wmt_en-es-news,True,n|a,,sampling,True,unconstrained,n|a,1,15,18000,42,1,4.65 ± 0.00,7.07 ± 0.00,9.41 ± 0.00,7.07 ± 0.00,9.41 ± 0.00,4.65 ± 0.00,9.23 ± 0.00,2.51 ± 0.00,3.95 ± 0.00,9.23 ± 0.00,2.51 ± 0.00,3.95 ± 0.00,3,0.0,20.00 ± 0.00,5,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,892.933,0.0,10.847,0.0
google/gemma-4-E2B-it,wmt_en-es-news,True,n|a,,sampling,True,constrained,token_aware,1,15,18000,42,1,16.09 ± 0.00,21.49 ± 0.00,30.14 ± 0.00,10.10 ± 0.00,11.92 ± 0.00,7.20 ± 0.00,3.48 ± 0.00,4.39 ± 0.00,3.88 ± 0.00,14.24 ± 0.00,17.99 ± 0.00,15.90 ± 0.00,0,0.0,0.00 ± 0.00,9,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,854.733,0.0,10.506,0.0
google/gemma-4-E2B-it,wmt_en-uk-news,True,n|a,,sampling,True,unconstrained,n|a,1,15,18000,42,1,6.15 ± 0.00,4.01 ± 0.00,13.33 ± 0.00,1.87 ± 0.00,6.67 ± 0.00,2.92 ± 0.00,8.05 ± 0.00,6.44 ± 0.00,7.16 ± 0.00,14.56 ± 0.00,11.66 ± 0.00,12.95 ± 0.00,9,0.0,60.00 ± 0.00,14,0.0,0,0.0,0.00 ± 0.00,1,6.67 ± 0.00,1199.4,0.0,15.026,0.0
google/gemma-4-E2B-it,wmt_en-uk-news,True,n|a,,sampling,True,constrained,token_aware,1,15,18000,42,1,20.42 ± 0.00,15.85 ± 0.00,37.92 ± 0.00,12.72 ± 0.00,21.92 ± 0.00,15.26 ± 0.00,14.74 ± 0.00,19.94 ± 0.00,16.95 ± 0.00,19.27 ± 0.00,26.07 ± 0.00,22.16 ± 0.00,0,0.0,0.00 ± 0.00,17,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,1179.867,0.0,15.101,0.0
google/gemma-4-E2B-it,wmt_en-es-literary,True,n|a,,sampling,True,unconstrained,n|a,1,15,18000,42,1,6.05 ± 0.00,9.74 ± 0.00,6.93 ± 0.00,6.67 ± 0.00,1.21 ± 0.00,2.05 ± 0.00,16.49 ± 0.00,6.04 ± 0.00,8.84 ± 0.00,35.05 ± 0.00,12.83 ± 0.00,18.78 ± 0.00,5,0.0,33.33 ± 0.00,7,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,808.267,0.0,10.067,0.0
google/gemma-4-E2B-it,wmt_en-es-literary,True,n|a,,sampling,True,constrained,token_aware,1,15,18000,42,1,8.01 ± 0.00,11.41 ± 0.00,14.71 ± 0.00,6.67 ± 0.00,1.21 ± 0.00,2.05 ± 0.00,3.20 ± 0.00,6.04 ± 0.00,4.18 ± 0.00,10.80 ± 0.00,20.38 ± 0.00,14.12 ± 0.00,0,0.0,0.00 ± 0.00,10,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,806.333,0.0,10.02,0.0
google/gemma-4-E2B-it,wmt_en-ja-news,True,n|a,,sampling,True,unconstrained,n|a,1,15,18000,42,1,8.33 ± 0.00,8.33 ± 0.00,8.33 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00,2.08 ± 0.00,4.08 ± 0.00,5,0.0,41.67 ± 0.00,3,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,1139.417,0.0,11.437,0.0
google/gemma-4-E2B-it,wmt_en-ja-news,True,n|a,,sampling,True,constrained,token_aware,1,15,18000,42,1,20.89 ± 0.00,17.49 ± 0.00,31.82 ± 0.00,5.07 ± 0.00,8.33 ± 0.00,6.30 ± 0.00,12.02 ± 0.00,40.97 ± 0.00,18.58 ± 0.00,15.89 ± 0.00,54.17 ± 0.00,24.57 ± 0.00,0,0.0,0.00 ± 0.00,7,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,1187.25,0.0,11.837,0.0
