model,dataset,reasoning_enabled,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,char_f1_report,char_precision_report,char_recall_report,macro_hard_precision_report,macro_hard_recall_report,macro_hard_f1_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,predicted_spans_avg,predicted_spans_std,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
openai/gpt-oss-120b,wmt_en-is-social,True,medium,,sampling,True,unconstrained,n|a,1,15,16000,42,1,25.07 ± 0.00,35.63 ± 0.00,29.78 ± 0.00,12.32 ± 0.00,13.96 ± 0.00,7.51 ± 0.00,13.82 ± 0.00,10.45 ± 0.00,11.90 ± 0.00,46.05 ± 0.00,34.83 ± 0.00,39.66 ± 0.00,2,0.0,13.33 ± 0.00,22,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,828.4,0.0,10.084,0.0
openai/gpt-oss-120b,wmt_en-is-social,True,medium,,sampling,True,constrained,token_aware,1,15,16000,42,1,30.29 ± 0.00,32.72 ± 0.00,34.36 ± 0.00,13.60 ± 0.00,11.36 ± 0.00,10.18 ± 0.00,11.08 ± 0.00,9.70 ± 0.00,10.34 ± 0.00,46.59 ± 0.00,40.80 ± 0.00,43.50 ± 0.00,0,0.0,0.00 ± 0.00,20,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,839.533,0.0,10.257,0.0
openai/gpt-oss-120b,wmt_en-es-news,True,medium,,sampling,True,unconstrained,n|a,1,15,16000,42,1,21.47 ± 0.00,23.52 ± 0.00,25.11 ± 0.00,13.03 ± 0.00,10.42 ± 0.00,10.61 ± 0.00,11.49 ± 0.00,6.28 ± 0.00,8.12 ± 0.00,24.90 ± 0.00,13.60 ± 0.00,17.59 ± 0.00,1,0.0,6.67 ± 0.00,14,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,779.933,0.0,9.8,0.0
openai/gpt-oss-120b,wmt_en-es-news,True,medium,,sampling,True,constrained,token_aware,1,15,16000,42,1,32.17 ± 0.00,32.91 ± 0.00,42.26 ± 0.00,16.28 ± 0.00,12.64 ± 0.00,12.72 ± 0.00,9.60 ± 0.00,7.95 ± 0.00,8.70 ± 0.00,25.51 ± 0.00,21.13 ± 0.00,23.11 ± 0.00,0,0.0,0.00 ± 0.00,24,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,818.0,0.0,10.362,0.0
openai/gpt-oss-120b,wmt_en-uk-news,True,medium,,sampling,True,unconstrained,n|a,1,15,16000,42,1,4.80 ± 0.00,3.22 ± 0.00,15.38 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,6.01 ± 0.00,7.06 ± 0.00,6.49 ± 0.00,6,0.0,40.00 ± 0.00,38,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,1327.533,0.0,17.05,0.0
openai/gpt-oss-120b,wmt_en-uk-news,True,medium,,sampling,True,constrained,token_aware,1,15,16000,42,1,11.15 ± 0.00,9.95 ± 0.00,36.21 ± 0.00,1.06 ± 0.00,8.59 ± 0.00,1.87 ± 0.00,1.53 ± 0.00,6.13 ± 0.00,2.44 ± 0.00,5.87 ± 0.00,23.62 ± 0.00,9.41 ± 0.00,0,0.0,0.00 ± 0.00,31,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,1243.4,0.0,15.976,0.0
openai/gpt-oss-120b,wmt_en-es-literary,True,medium,,sampling,True,unconstrained,n|a,1,15,16000,42,1,5.68 ± 0.00,9.60 ± 0.00,16.76 ± 0.00,8.62 ± 0.00,10.09 ± 0.00,3.97 ± 0.00,8.03 ± 0.00,10.94 ± 0.00,9.27 ± 0.00,9.42 ± 0.00,12.83 ± 0.00,10.86 ± 0.00,6,0.0,40.00 ± 0.00,37,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,1127.267,0.0,13.774,0.0
openai/gpt-oss-120b,wmt_en-es-literary,True,medium,,sampling,True,constrained,token_aware,1,15,16000,42,1,18.71 ± 0.00,18.53 ± 0.00,43.80 ± 0.00,11.38 ± 0.00,23.80 ± 0.00,8.43 ± 0.00,7.64 ± 0.00,17.36 ± 0.00,10.61 ± 0.00,13.46 ± 0.00,30.57 ± 0.00,18.69 ± 0.00,0,0.0,0.00 ± 0.00,32,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,1076.533,0.0,13.033,0.0
openai/gpt-oss-120b,wmt_en-ja-news,True,medium,,sampling,True,unconstrained,n|a,1,15,16000,42,1,12.96 ± 0.00,8.35 ± 0.00,48.67 ± 0.00,4.22 ± 0.00,25.00 ± 0.00,6.46 ± 0.00,3.47 ± 0.00,7.64 ± 0.00,4.77 ± 0.00,7.57 ± 0.00,16.67 ± 0.00,10.41 ± 0.00,2,0.0,16.67 ± 0.00,23,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,1463.0,0.0,14.689,0.0
openai/gpt-oss-120b,wmt_en-ja-news,True,medium,,sampling,True,constrained,token_aware,1,15,16000,42,1,23.15 ± 0.00,18.16 ± 0.00,42.42 ± 0.00,15.92 ± 0.00,32.01 ± 0.00,19.47 ± 0.00,18.49 ± 0.00,52.78 ± 0.00,27.39 ± 0.00,19.46 ± 0.00,55.56 ± 0.00,28.83 ± 0.00,0,0.0,0.00 ± 0.00,22,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,1424.583,0.0,14.412,0.0
