model,dataset,reasoning_enabled,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,char_f1_report,char_precision_report,char_recall_report,macro_hard_precision_report,macro_hard_recall_report,macro_hard_f1_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,predicted_spans_avg,predicted_spans_std,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
openai/gpt-oss-20b,wmt_en-is-social,True,low,,sampling,True,unconstrained,n|a,1,15,16000,42,1,18.32 ± 0.00,32.17 ± 0.00,17.50 ± 0.00,15.36 ± 0.00,6.65 ± 0.00,8.05 ± 0.00,10.74 ± 0.00,6.47 ± 0.00,8.07 ± 0.00,36.78 ± 0.00,22.14 ± 0.00,27.64 ± 0.00,3,0.0,20.00 ± 0.00,22,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,285.8,0.0,2.356,0.0
openai/gpt-oss-20b,wmt_en-is-social,True,low,,sampling,True,constrained,token_aware,1,15,16000,42,1,23.81 ± 0.00,26.72 ± 0.00,30.39 ± 0.00,24.12 ± 0.00,25.69 ± 0.00,20.51 ± 0.00,23.56 ± 0.00,21.39 ± 0.00,22.43 ± 0.00,30.96 ± 0.00,28.11 ± 0.00,29.47 ± 0.00,0,0.0,0.00 ± 0.00,23,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,248.4,0.0,2.09,0.0
openai/gpt-oss-20b,wmt_en-es-news,True,low,,sampling,True,unconstrained,n|a,1,15,16000,42,1,12.71 ± 0.00,11.85 ± 0.00,25.34 ± 0.00,9.63 ± 0.00,20.22 ± 0.00,9.73 ± 0.00,8.72 ± 0.00,10.25 ± 0.00,9.42 ± 0.00,12.28 ± 0.00,14.44 ± 0.00,13.27 ± 0.00,4,0.0,26.67 ± 0.00,20,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,288.2,0.0,2.465,0.0
openai/gpt-oss-20b,wmt_en-es-news,True,low,,sampling,True,constrained,token_aware,1,15,16000,42,1,7.11 ± 0.00,9.52 ± 0.00,17.78 ± 0.00,1.56 ± 0.00,9.80 ± 0.00,2.69 ± 0.00,4.67 ± 0.00,3.97 ± 0.00,4.29 ± 0.00,12.29 ± 0.00,10.46 ± 0.00,11.30 ± 0.00,0,0.0,0.00 ± 0.00,21,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,285.6,0.0,2.458,0.0
openai/gpt-oss-20b,wmt_en-uk-news,True,low,,sampling,True,unconstrained,n|a,1,15,16000,42,1,8.63 ± 0.00,6.26 ± 0.00,15.90 ± 0.00,6.26 ± 0.00,15.90 ± 0.00,8.63 ± 0.00,21.56 ± 0.00,17.79 ± 0.00,19.50 ± 0.00,21.56 ± 0.00,17.79 ± 0.00,19.50 ± 0.00,7,0.0,46.67 ± 0.00,27,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,295.467,0.0,2.992,0.0
openai/gpt-oss-20b,wmt_en-uk-news,True,low,,sampling,True,constrained,token_aware,1,15,16000,42,1,22.35 ± 0.00,23.76 ± 0.00,40.04 ± 0.00,6.15 ± 0.00,21.42 ± 0.00,9.07 ± 0.00,6.46 ± 0.00,18.10 ± 0.00,9.52 ± 0.00,16.54 ± 0.00,46.32 ± 0.00,24.37 ± 0.00,0,0.0,0.00 ± 0.00,36,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,343.0,0.0,3.37,0.0
openai/gpt-oss-20b,wmt_en-es-literary,True,low,,sampling,True,unconstrained,n|a,1,15,16000,42,1,9.59 ± 0.00,14.23 ± 0.00,11.75 ± 0.00,6.67 ± 0.00,4.17 ± 0.00,5.13 ± 0.00,4.55 ± 0.00,3.77 ± 0.00,4.12 ± 0.00,15.91 ± 0.00,13.21 ± 0.00,14.43 ± 0.00,7,0.0,46.67 ± 0.00,29,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,302.533,0.0,2.558,0.0
openai/gpt-oss-20b,wmt_en-es-literary,True,low,,sampling,True,constrained,token_aware,1,15,16000,42,1,19.56 ± 0.00,22.88 ± 0.00,35.72 ± 0.00,15.19 ± 0.00,21.14 ± 0.00,12.22 ± 0.00,5.67 ± 0.00,15.09 ± 0.00,8.25 ± 0.00,13.62 ± 0.00,36.23 ± 0.00,19.79 ± 0.00,0,0.0,0.00 ± 0.00,29,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,345.4,0.0,2.862,0.0
openai/gpt-oss-20b,wmt_en-ja-news,True,low,,sampling,True,unconstrained,n|a,1,15,16000,42,1,11.03 ± 0.00,6.97 ± 0.00,35.42 ± 0.00,6.20 ± 0.00,25.00 ± 0.00,9.74 ± 0.00,13.35 ± 0.00,47.92 ± 0.00,20.88 ± 0.00,14.12 ± 0.00,50.69 ± 0.00,22.09 ± 0.00,2,0.0,16.67 ± 0.00,27,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,471.5,0.0,3.475,0.0
openai/gpt-oss-20b,wmt_en-ja-news,True,low,,sampling,True,constrained,token_aware,1,15,16000,42,1,27.64 ± 0.00,24.42 ± 0.00,44.88 ± 0.00,12.82 ± 0.00,13.89 ± 0.00,12.50 ± 0.00,1.89 ± 0.00,6.25 ± 0.00,2.90 ± 0.00,12.39 ± 0.00,40.97 ± 0.00,19.03 ± 0.00,0,0.0,0.00 ± 0.00,21,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,425.5,0.0,3.222,0.0
