model,dataset,reasoning_enabled,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,char_f1_report,char_precision_report,char_recall_report,macro_hard_precision_report,macro_hard_recall_report,macro_hard_f1_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,predicted_spans_avg,predicted_spans_std,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
openai/gpt-oss-120b,wmt_en-ru-news,True,low,,sampling,True,unconstrained,n|a,1,15,16000,42,1,17.56 ± 0.00,16.62 ± 0.00,18.90 ± 0.00,8.25 ± 0.00,9.44 ± 0.00,8.69 ± 0.00,4.83 ± 0.00,3.76 ± 0.00,4.23 ± 0.00,22.05 ± 0.00,17.14 ± 0.00,19.29 ± 0.00,5,0.0,33.33 ± 0.00,21,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,331.333,0.0,4.318,0.0
openai/gpt-oss-120b,wmt_en-ru-news,True,low,,sampling,True,constrained,token_aware,1,15,16000,42,1,31.34 ± 0.00,29.51 ± 0.00,41.06 ± 0.00,14.94 ± 0.00,18.85 ± 0.00,16.10 ± 0.00,11.76 ± 0.00,15.49 ± 0.00,13.37 ± 0.00,23.17 ± 0.00,30.52 ± 0.00,26.34 ± 0.00,0,0.0,0.00 ± 0.00,21,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,309.467,0.0,4.111,0.0
openai/gpt-oss-120b,wmt_en-cs-news,True,low,,sampling,True,unconstrained,n|a,1,15,16000,42,1,20.95 ± 0.00,20.65 ± 0.00,34.63 ± 0.00,9.23 ± 0.00,17.61 ± 0.00,10.03 ± 0.00,9.94 ± 0.00,14.12 ± 0.00,11.66 ± 0.00,22.57 ± 0.00,32.06 ± 0.00,26.49 ± 0.00,4,0.0,26.67 ± 0.00,34,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,331.4,0.0,4.495,0.0
openai/gpt-oss-120b,wmt_en-cs-news,True,low,,sampling,True,constrained,token_aware,1,15,16000,42,1,36.47 ± 0.00,31.44 ± 0.00,56.76 ± 0.00,9.42 ± 0.00,22.21 ± 0.00,12.13 ± 0.00,6.75 ± 0.00,12.94 ± 0.00,8.87 ± 0.00,27.30 ± 0.00,52.35 ± 0.00,35.89 ± 0.00,0,0.0,0.00 ± 0.00,33,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,347.0,0.0,4.657,0.0
openai/gpt-oss-120b,wmt_en-cs-social,True,low,,sampling,True,unconstrained,n|a,1,15,16000,42,1,31.13 ± 0.00,27.70 ± 0.00,42.58 ± 0.00,15.23 ± 0.00,17.92 ± 0.00,15.71 ± 0.00,22.87 ± 0.00,17.92 ± 0.00,20.09 ± 0.00,50.00 ± 0.00,39.17 ± 0.00,43.93 ± 0.00,1,0.0,6.67 ± 0.00,11,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,193.667,0.0,2.181,0.0
openai/gpt-oss-120b,wmt_en-cs-social,True,low,,sampling,True,constrained,token_aware,1,15,16000,42,1,38.47 ± 0.00,41.82 ± 0.00,51.75 ± 0.00,29.73 ± 0.00,31.75 ± 0.00,24.33 ± 0.00,27.10 ± 0.00,24.17 ± 0.00,25.55 ± 0.00,46.73 ± 0.00,41.67 ± 0.00,44.05 ± 0.00,0,0.0,0.00 ± 0.00,15,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,192.333,0.0,2.192,0.0
openai/gpt-oss-120b,wmt_en-zh-literary,True,low,,sampling,True,unconstrained,n|a,1,15,16000,42,1,17.22 ± 0.00,13.45 ± 0.00,32.54 ± 0.00,8.84 ± 0.00,12.78 ± 0.00,9.87 ± 0.00,4.79 ± 0.00,7.02 ± 0.00,5.69 ± 0.00,11.98 ± 0.00,17.54 ± 0.00,14.23 ± 0.00,5,0.0,33.33 ± 0.00,22,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,343.067,0.0,4.219,0.0
openai/gpt-oss-120b,wmt_en-zh-literary,True,low,,sampling,True,constrained,token_aware,1,15,16000,42,1,22.24 ± 0.00,17.76 ± 0.00,43.00 ± 0.00,8.39 ± 0.00,13.77 ± 0.00,9.40 ± 0.00,5.10 ± 0.00,17.54 ± 0.00,7.91 ± 0.00,11.48 ± 0.00,39.47 ± 0.00,17.79 ± 0.00,0,0.0,0.00 ± 0.00,27,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,298.333,0.0,3.999,0.0
openai/gpt-oss-120b,wmt_en-ja-literary,True,low,,sampling,True,unconstrained,n|a,1,15,16000,42,1,23.96 ± 0.00,18.60 ± 0.00,53.33 ± 0.00,12.51 ± 0.00,40.00 ± 0.00,15.66 ± 0.00,8.77 ± 0.00,35.09 ± 0.00,14.04 ± 0.00,14.47 ± 0.00,57.89 ± 0.00,23.16 ± 0.00,1,0.0,6.67 ± 0.00,20,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,455.4,0.0,5.731,0.0
openai/gpt-oss-120b,wmt_en-ja-literary,True,low,,sampling,True,constrained,token_aware,1,15,16000,42,1,22.90 ± 0.00,17.19 ± 0.00,66.67 ± 0.00,8.42 ± 0.00,26.67 ± 0.00,9.88 ± 0.00,2.95 ± 0.00,26.32 ± 0.00,5.31 ± 0.00,8.46 ± 0.00,75.44 ± 0.00,15.22 ± 0.00,0,0.0,0.00 ± 0.00,27,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,436.0,0.0,5.565,0.0
