model,dataset,reasoning_enabled,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,char_f1_report,char_precision_report,char_recall_report,macro_hard_precision_report,macro_hard_recall_report,macro_hard_f1_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,predicted_spans_avg,predicted_spans_std,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
openai/gpt-oss-120b,wmt_en-ru-news,True,medium,,sampling,True,unconstrained,n|a,1,15,16000,42,1,14.13 ± 0.00,9.84 ± 0.00,31.51 ± 0.00,0.76 ± 0.00,2.22 ± 0.00,1.13 ± 0.00,0.66 ± 0.00,0.94 ± 0.00,0.78 ± 0.00,18.11 ± 0.00,25.59 ± 0.00,21.21 ± 0.00,4,0.0,26.67 ± 0.00,28,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,1200.0,0.0,13.111,0.0
openai/gpt-oss-120b,wmt_en-ru-news,True,medium,,sampling,True,constrained,token_aware,1,15,16000,42,1,26.35 ± 0.00,28.73 ± 0.00,34.65 ± 0.00,7.02 ± 0.00,9.44 ± 0.00,7.29 ± 0.00,4.40 ± 0.00,3.76 ± 0.00,4.05 ± 0.00,27.47 ± 0.00,23.47 ± 0.00,25.32 ± 0.00,0,0.0,0.00 ± 0.00,22,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,1204.933,0.0,13.129,0.0
openai/gpt-oss-120b,wmt_en-cs-news,True,medium,,sampling,True,unconstrained,n|a,1,15,16000,42,1,29.63 ± 0.00,25.98 ± 0.00,48.77 ± 0.00,5.24 ± 0.00,20.54 ± 0.00,8.28 ± 0.00,7.62 ± 0.00,11.18 ± 0.00,9.06 ± 0.00,32.06 ± 0.00,47.06 ± 0.00,38.14 ± 0.00,3,0.0,20.00 ± 0.00,37,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,1208.333,0.0,13.421,0.0
openai/gpt-oss-120b,wmt_en-cs-news,True,medium,,sampling,True,constrained,token_aware,1,15,16000,42,1,38.06 ± 0.00,42.17 ± 0.00,62.73 ± 0.00,13.29 ± 0.00,23.24 ± 0.00,10.14 ± 0.00,6.14 ± 0.00,14.71 ± 0.00,8.67 ± 0.00,22.24 ± 0.00,53.24 ± 0.00,31.37 ± 0.00,0,0.0,0.00 ± 0.00,59,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,1396.333,0.0,15.519,0.0
openai/gpt-oss-120b,wmt_en-cs-social,True,medium,,sampling,True,unconstrained,n|a,1,15,16000,42,1,41.85 ± 0.00,43.73 ± 0.00,53.55 ± 0.00,20.06 ± 0.00,25.00 ± 0.00,18.78 ± 0.00,23.08 ± 0.00,18.75 ± 0.00,20.69 ± 0.00,49.23 ± 0.00,40.00 ± 0.00,44.14 ± 0.00,0,0.0,0.00 ± 0.00,18,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,563.4,0.0,5.924,0.0
openai/gpt-oss-120b,wmt_en-cs-social,True,medium,,sampling,True,constrained,token_aware,1,15,16000,42,1,45.54 ± 0.00,53.15 ± 0.00,50.42 ± 0.00,23.94 ± 0.00,15.94 ± 0.00,17.42 ± 0.00,29.80 ± 0.00,18.75 ± 0.00,23.02 ± 0.00,71.52 ± 0.00,45.00 ± 0.00,55.24 ± 0.00,0,0.0,0.00 ± 0.00,17,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,548.333,0.0,5.832,0.0
openai/gpt-oss-120b,wmt_en-zh-literary,True,medium,,sampling,True,unconstrained,n|a,1,15,16000,42,1,25.25 ± 0.00,21.78 ± 0.00,36.11 ± 0.00,10.71 ± 0.00,17.78 ± 0.00,12.29 ± 0.00,5.02 ± 0.00,10.53 ± 0.00,6.80 ± 0.00,8.79 ± 0.00,18.42 ± 0.00,11.90 ± 0.00,2,0.0,13.33 ± 0.00,28,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,1191.067,0.0,13.005,0.0
openai/gpt-oss-120b,wmt_en-zh-literary,True,medium,,sampling,True,constrained,token_aware,1,15,16000,42,1,22.08 ± 0.00,17.82 ± 0.00,36.90 ± 0.00,9.19 ± 0.00,13.33 ± 0.00,10.28 ± 0.00,3.87 ± 0.00,9.65 ± 0.00,5.53 ± 0.00,9.15 ± 0.00,22.81 ± 0.00,13.07 ± 0.00,0,0.0,0.00 ± 0.00,30,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,1229.4,0.0,13.398,0.0
openai/gpt-oss-120b,wmt_en-ja-literary,True,medium,,sampling,True,unconstrained,n|a,1,15,16000,42,1,19.00 ± 0.00,14.44 ± 0.00,46.67 ± 0.00,10.98 ± 0.00,33.33 ± 0.00,13.79 ± 0.00,7.22 ± 0.00,35.09 ± 0.00,11.98 ± 0.00,10.11 ± 0.00,49.12 ± 0.00,16.77 ± 0.00,2,0.0,13.33 ± 0.00,30,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,1367.133,0.0,14.898,0.0
openai/gpt-oss-120b,wmt_en-ja-literary,True,medium,,sampling,True,constrained,token_aware,1,15,16000,42,1,24.70 ± 0.00,20.60 ± 0.00,46.67 ± 0.00,19.00 ± 0.00,40.00 ± 0.00,22.12 ± 0.00,8.28 ± 0.00,42.11 ± 0.00,13.83 ± 0.00,10.34 ± 0.00,52.63 ± 0.00,17.29 ± 0.00,0,0.0,0.00 ± 0.00,26,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,1344.933,0.0,14.829,0.0
