model,dataset,reasoning_enabled,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,char_f1_report,char_precision_report,char_recall_report,macro_hard_precision_report,macro_hard_recall_report,macro_hard_f1_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,predicted_spans_avg,predicted_spans_std,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
Qwen/Qwen3.8-27B,wmt_en-cs-news,False,n|a,,sampling,True,unconstrained,n|a,1,,18000,"42,43,44",3,18.44 ± 2.98,20.47 ± 2.71,25.16 ± 4.69,9.27 ± 2.18,9.58 ± 1.50,7.81 ± 1.12,10.67 ± 1.16,8.22 ± 0.81,9.28 ± 0.95,25.50 ± 5.24,19.60 ± 3.58,22.16 ± 4.26,11.0,1.0,23.40 ± 2.13,55.333,2.517,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,6.11,0.107
Qwen/Qwen3.8-27B,wmt_en-cs-news,False,n|a,,sampling,True,constrained,token_aware,1,,18000,"42,43,44",3,21.02 ± 2.42,22.64 ± 3.22,33.79 ± 3.28,8.29 ± 0.80,17.38 ± 1.09,9.36 ± 0.50,9.76 ± 1.14,12.98 ± 1.23,11.08 ± 0.60,19.91 ± 2.33,26.47 ± 2.05,22.59 ± 0.84,0.0,0.0,0.00 ± 0.00,80.667,3.512,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,6.638,0.052
Qwen/Qwen3.8-27B,wmt_en-is-social,False,n|a,,sampling,True,unconstrained,n|a,1,,18000,"42,43,44",3,22.31 ± 2.53,29.68 ± 3.17,25.40 ± 3.71,13.87 ± 2.04,11.83 ± 2.61,11.28 ± 1.66,22.20 ± 4.33,9.67 ± 2.72,13.43 ± 3.39,43.67 ± 3.72,18.69 ± 1.64,26.10 ± 1.54,25.333,0.577,34.23 ± 0.78,67.333,0.577,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,5.049,0.212
Qwen/Qwen3.8-27B,wmt_en-is-social,False,n|a,,sampling,True,constrained,token_aware,1,,18000,"42,43,44",3,36.95 ± 0.76,46.17 ± 1.44,49.72 ± 0.78,21.42 ± 0.26,22.17 ± 0.93,17.69 ± 0.92,13.63 ± 0.36,15.41 ± 1.86,14.44 ± 1.03,32.25 ± 2.86,36.50 ± 5.80,34.19 ± 3.99,0.0,0.0,0.00 ± 0.00,109.667,9.292,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,5.74,0.319
Qwen/Qwen3.8-27B,wmt_en-ja-social,False,n|a,,sampling,True,unconstrained,n|a,1,,18000,"42,43,44",3,18.10 ± 1.02,16.12 ± 2.58,33.33 ± 7.69,4.62 ± 1.98,17.95 ± 8.88,6.80 ± 2.75,9.18 ± 2.44,15.98 ± 4.81,11.56 ± 2.85,24.94 ± 3.47,42.93 ± 3.45,31.32 ± 1.98,2.0,1.732,15.38 ± 13.32,12.333,1.528,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,0.485,0.024
Qwen/Qwen3.8-27B,wmt_en-ja-social,False,n|a,,sampling,True,constrained,token_aware,1,,18000,"42,43,44",3,17.48 ± 2.72,16.27 ± 0.50,37.61 ± 2.96,8.43 ± 4.71,29.06 ± 5.34,10.23 ± 3.27,11.54 ± 4.62,25.57 ± 9.12,15.84 ± 5.98,18.08 ± 3.24,40.19 ± 6.18,24.86 ± 4.02,0.0,0.0,0.00 ± 0.00,11.667,1.155,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,0.522,0.014
Qwen/Qwen3.8-27B,wmt_en-uk-literary,False,n|a,,sampling,True,unconstrained,n|a,1,,18000,"42,43,44",3,18.53 ± 4.81,24.44 ± 3.61,20.54 ± 7.08,10.21 ± 3.66,11.23 ± 5.62,9.06 ± 4.04,13.91 ± 2.08,10.62 ± 4.41,11.79 ± 3.35,35.29 ± 1.93,26.49 ± 7.77,29.64 ± 4.84,12.333,1.155,33.33 ± 3.12,62.0,4.359,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,4.785,0.214
Qwen/Qwen3.8-27B,wmt_en-uk-literary,False,n|a,,sampling,True,constrained,token_aware,1,,18000,"42,43,44",3,22.24 ± 0.99,22.57 ± 2.13,43.49 ± 5.30,7.17 ± 0.82,15.43 ± 5.21,7.56 ± 2.41,4.24 ± 1.61,14.99 ± 5.60,6.61 ± 2.49,14.55 ± 0.94,51.55 ± 6.00,22.69 ± 1.71,0.0,0.0,0.00 ± 0.00,102.667,10.97,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,5.794,0.157
Qwen/Qwen3.8-27B,wmt_en-uk-social,False,n|a,,sampling,True,unconstrained,n|a,1,,18000,"42,43,44",3,23.34 ± 3.61,21.80 ± 4.31,39.30 ± 6.48,7.07 ± 5.78,15.86 ± 10.42,7.99 ± 6.15,7.65 ± 4.64,12.79 ± 7.57,9.56 ± 5.74,21.69 ± 3.10,36.17 ± 6.61,27.08 ± 4.14,4.667,0.577,17.28 ± 2.14,28.333,3.055,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,1.494,0.049
Qwen/Qwen3.8-27B,wmt_en-uk-social,False,n|a,,sampling,True,constrained,token_aware,1,,18000,"42,43,44",3,26.89 ± 1.19,28.52 ± 4.35,44.48 ± 4.01,7.65 ± 4.44,15.71 ± 2.36,8.50 ± 3.78,7.96 ± 1.18,17.33 ± 4.37,10.88 ± 1.98,21.39 ± 0.66,46.25 ± 6.60,29.20 ± 1.93,0.0,0.0,0.00 ± 0.00,32.667,2.082,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,1.748,0.029
