model,dataset,reasoning_enabled,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,char_f1_report,char_precision_report,char_recall_report,macro_hard_precision_report,macro_hard_recall_report,macro_hard_f1_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,predicted_spans_avg,predicted_spans_std,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
Qwen/Qwen3.8-27B,wmt_en-cs-social,False,n|a,,sampling,True,unconstrained,n|a,1,,18000,"42,43,44",3,22.86 ± 1.73,25.33 ± 0.85,28.58 ± 0.32,13.87 ± 2.66,15.31 ± 2.19,12.26 ± 2.26,25.50 ± 7.88,16.23 ± 2.97,19.78 ± 4.59,46.83 ± 10.42,30.06 ± 2.72,36.51 ± 5.14,8.667,1.528,24.76 ± 4.36,22.333,3.055,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,0.979,0.039
Qwen/Qwen3.8-27B,wmt_en-cs-social,False,n|a,,sampling,True,constrained,token_aware,1,,18000,"42,43,44",3,30.82 ± 3.86,36.48 ± 4.51,40.48 ± 2.56,17.27 ± 2.49,15.89 ± 1.17,13.77 ± 1.19,20.12 ± 5.30,17.76 ± 2.91,18.72 ± 3.45,41.39 ± 10.39,36.54 ± 5.37,38.51 ± 6.50,0.0,0.0,0.00 ± 0.00,27.667,1.528,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,1.038,0.043
Qwen/Qwen3.8-27B,wmt_en-hi-social,False,n|a,,sampling,True,unconstrained,n|a,1,,18000,"42,43,44",3,11.56 ± 1.60,8.92 ± 0.96,25.32 ± 5.98,0.58 ± 1.00,2.56 ± 4.44,0.89 ± 1.54,4.13 ± 7.15,8.16 ± 14.13,5.48 ± 9.50,23.32 ± 3.81,53.73 ± 6.45,32.19 ± 3.06,14.333,3.055,55.13 ± 11.75,187.667,13.051,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,3.468,0.121
Qwen/Qwen3.8-27B,wmt_en-hi-social,False,n|a,,sampling,True,constrained,token_aware,1,,18000,"42,43,44",3,18.15 ± 4.51,14.24 ± 3.53,49.76 ± 9.97,1.86 ± 1.41,6.91 ± 2.88,2.40 ± 1.31,1.35 ± 0.75,5.20 ± 2.81,2.15 ± 1.19,12.33 ± 2.77,47.82 ± 11.11,19.60 ± 4.44,0.0,0.0,0.00 ± 0.00,204.667,27.154,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,4.143,0.311
Qwen/Qwen3.8-27B,wmt_en-is-literary,False,n|a,,sampling,True,unconstrained,n|a,1,,18000,"42,43,44",3,14.84 ± 3.49,21.77 ± 3.44,14.44 ± 3.75,8.42 ± 1.99,6.39 ± 1.06,6.07 ± 1.26,19.67 ± 3.24,7.04 ± 1.83,10.29 ± 2.28,43.79 ± 2.67,15.82 ± 3.97,23.06 ± 4.58,33.333,3.055,45.66 ± 4.19,95.667,11.06,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,8.835,0.131
Qwen/Qwen3.8-27B,wmt_en-is-literary,False,n|a,,sampling,True,constrained,token_aware,1,,18000,"42,43,44",3,28.10 ± 0.83,36.29 ± 1.19,39.00 ± 1.78,13.02 ± 2.07,13.43 ± 3.83,9.72 ± 2.45,11.20 ± 2.49,12.66 ± 4.23,11.86 ± 3.27,30.44 ± 1.31,33.74 ± 3.66,31.92 ± 1.70,0.0,0.0,0.00 ± 0.00,184.333,8.737,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,10.547,0.301
Qwen/Qwen3.8-27B,wmt_en-ja-literary,False,n|a,,sampling,True,unconstrained,n|a,1,,18000,"42,43,44",3,16.73 ± 4.22,14.04 ± 3.90,35.42 ± 3.61,6.05 ± 4.83,16.67 ± 7.22,7.11 ± 5.38,3.66 ± 2.46,11.66 ± 5.77,5.55 ± 3.51,8.28 ± 2.51,27.78 ± 5.36,12.68 ± 3.36,5.0,1.0,31.25 ± 6.25,19.333,2.517,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,1.203,0.05
Qwen/Qwen3.8-27B,wmt_en-ja-literary,False,n|a,,sampling,True,constrained,token_aware,1,,18000,"42,43,44",3,18.79 ± 6.32,14.09 ± 5.64,57.81 ± 4.69,7.32 ± 4.04,31.25 ± 6.25,9.42 ± 4.09,3.24 ± 0.54,28.89 ± 5.09,5.81 ± 0.96,5.99 ± 0.46,53.33 ± 2.89,10.76 ± 0.71,0.0,0.0,0.00 ± 0.00,28.667,4.041,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,1.575,0.053
Qwen/Qwen3.8-27B,wmt_en-ru-literary,False,n|a,,sampling,True,unconstrained,n|a,1,,18000,"42,43,44",3,26.59 ± 4.00,29.18 ± 3.10,29.70 ± 5.00,12.23 ± 3.01,13.06 ± 3.04,11.65 ± 2.14,11.58 ± 1.57,6.22 ± 0.40,8.08 ± 0.67,31.43 ± 4.43,17.18 ± 4.01,22.18 ± 4.46,12.0,3.606,24.00 ± 7.21,69.333,6.506,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,5.849,0.134
Qwen/Qwen3.8-27B,wmt_en-ru-literary,False,n|a,,sampling,True,constrained,token_aware,1,,18000,"42,43,44",3,30.58 ± 1.49,30.86 ± 2.77,50.80 ± 1.95,9.96 ± 2.93,16.42 ± 4.22,9.74 ± 3.14,4.23 ± 1.14,8.66 ± 1.68,5.68 ± 1.39,18.14 ± 0.91,37.60 ± 2.69,24.46 ± 1.18,0.0,0.0,0.00 ± 0.00,132.667,7.234,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,7.356,0.161
