model,dataset,reasoning_enabled,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,char_f1_report,char_precision_report,char_recall_report,macro_hard_precision_report,macro_hard_recall_report,macro_hard_f1_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,predicted_spans_avg,predicted_spans_std,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
Qwen/Qwen3.8-27B,wmt_en-es-literary,False,n|a,,sampling,True,unconstrained,n|a,1,,18000,"42,43,44",3,8.29 ± 1.98,7.64 ± 1.61,14.31 ± 0.99,4.63 ± 0.13,4.78 ± 1.23,4.13 ± 0.11,7.51 ± 0.62,4.63 ± 0.42,5.70 ± 0.16,18.35 ± 4.79,11.16 ± 2.14,13.82 ± 2.90,10.667,1.528,48.48 ± 6.94,22.0,3.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,1.554,0.113
Qwen/Qwen3.8-27B,wmt_en-es-literary,False,n|a,,sampling,True,constrained,token_aware,1,,18000,"42,43,44",3,17.09 ± 4.23,18.69 ± 4.41,47.80 ± 6.53,7.60 ± 7.29,11.66 ± 6.41,5.74 ± 4.50,3.19 ± 1.29,9.05 ± 3.81,4.71 ± 1.92,9.92 ± 0.89,28.21 ± 2.75,14.67 ± 1.28,0.0,0.0,0.00 ± 0.00,32.0,1.732,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,1.86,0.021
Qwen/Qwen3.8-27B,wmt_en-es-news,False,n|a,,sampling,True,unconstrained,n|a,1,,18000,"42,43,44",3,21.00 ± 5.27,25.13 ± 6.04,23.43 ± 6.36,7.44 ± 2.01,6.03 ± 3.09,5.55 ± 1.37,9.94 ± 3.25,3.95 ± 1.52,5.62 ± 1.99,42.87 ± 6.23,17.20 ± 5.54,24.44 ± 6.56,8.333,0.577,21.93 ± 1.52,32.333,6.429,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,2.914,0.075
Qwen/Qwen3.8-27B,wmt_en-es-news,False,n|a,,sampling,True,constrained,token_aware,1,,18000,"42,43,44",3,19.12 ± 2.72,22.14 ± 3.50,29.76 ± 5.03,8.33 ± 3.23,7.65 ± 4.53,6.99 ± 3.27,2.88 ± 1.67,5.48 ± 3.41,3.73 ± 2.15,11.69 ± 1.71,21.11 ± 2.42,14.89 ± 0.93,0.0,0.0,0.00 ± 0.00,41.333,1.528,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,3.143,0.019
Qwen/Qwen3.8-27B,wmt_en-es-social,False,n|a,,sampling,True,unconstrained,n|a,1,,18000,"42,43,44",3,24.10 ± 2.63,27.81 ± 3.01,29.24 ± 4.06,11.83 ± 0.31,13.78 ± 3.83,10.67 ± 1.24,21.02 ± 3.25,15.23 ± 2.18,17.64 ± 2.50,45.92 ± 3.02,33.30 ± 0.91,38.55 ± 0.53,6.0,1.0,15.00 ± 2.50,36.667,2.082,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,2.003,0.045
Qwen/Qwen3.8-27B,wmt_en-es-social,False,n|a,,sampling,True,constrained,token_aware,1,,18000,"42,43,44",3,27.84 ± 0.84,30.14 ± 3.40,42.28 ± 2.52,12.46 ± 3.61,18.46 ± 7.73,12.55 ± 4.03,13.66 ± 2.24,19.25 ± 5.35,15.95 ± 3.38,31.82 ± 2.73,43.98 ± 1.17,36.85 ± 1.46,0.0,0.0,0.00 ± 0.00,41.333,1.528,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,2.249,0.011
Qwen/Qwen3.8-27B,wmt_en-is-news,False,n|a,,sampling,True,unconstrained,n|a,1,,18000,"42,43,44",3,16.77 ± 1.50,26.07 ± 2.77,17.25 ± 2.25,10.57 ± 2.34,7.07 ± 1.00,7.05 ± 0.21,14.53 ± 2.26,3.69 ± 0.38,5.88 ± 0.59,37.04 ± 0.69,9.53 ± 1.32,15.12 ± 1.70,24.0,3.606,31.17 ± 4.68,105.667,4.041,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,12.973,0.807
Qwen/Qwen3.8-27B,wmt_en-is-news,False,n|a,,sampling,True,constrained,token_aware,1,,18000,"42,43,44",3,23.06 ± 1.80,33.57 ± 1.67,27.94 ± 2.11,11.62 ± 1.39,11.00 ± 1.94,8.57 ± 1.50,9.56 ± 1.37,6.97 ± 1.38,7.99 ± 1.09,28.18 ± 5.46,20.33 ± 3.30,23.39 ± 2.96,0.0,0.0,0.00 ± 0.00,121.333,13.65,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,14.627,0.595
Qwen/Qwen3.8-27B,wmt_en-uk-news,False,n|a,,sampling,True,unconstrained,n|a,1,,18000,"42,43,44",3,6.09 ± 1.16,5.89 ± 1.41,11.47 ± 3.44,3.60 ± 3.16,4.32 ± 4.22,2.98 ± 2.70,3.60 ± 3.23,3.33 ± 3.09,3.46 ± 3.15,12.96 ± 3.39,12.49 ± 2.90,12.69 ± 3.01,10.0,2.0,34.48 ± 6.90,32.0,7.81,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,4.144,0.037
Qwen/Qwen3.8-27B,wmt_en-uk-news,False,n|a,,sampling,True,constrained,token_aware,1,,18000,"42,43,44",3,9.45 ± 2.36,9.20 ± 2.92,23.08 ± 2.19,4.09 ± 2.81,10.27 ± 1.84,3.97 ± 2.16,3.61 ± 1.11,9.21 ± 1.19,5.15 ± 1.33,9.89 ± 1.87,25.82 ± 2.42,14.19 ± 1.80,0.0,0.0,0.00 ± 0.00,49.333,5.033,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,3.69,1.114
Qwen/Qwen3.8-27B,wmt_en-zh-news,False,n|a,,sampling,True,unconstrained,n|a,1,,18000,"42,43,44",3,8.24 ± 4.85,14.01 ± 6.03,12.83 ± 5.74,7.01 ± 10.40,5.43 ± 5.07,4.63 ± 5.54,13.96 ± 20.94,9.22 ± 14.99,11.00 ± 17.56,22.07 ± 16.23,11.24 ± 14.54,14.09 ± 16.42,4.667,0.577,38.89 ± 4.81,23.333,2.309,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,0.706,0.029
Qwen/Qwen3.8-27B,wmt_en-zh-news,False,n|a,,sampling,True,constrained,token_aware,1,,18000,"42,43,44",3,21.96 ± 4.02,34.68 ± 8.20,23.71 ± 4.99,22.25 ± 2.57,16.12 ± 1.06,14.88 ± 1.04,16.32 ± 14.77,12.25 ± 14.02,13.80 ± 14.57,31.00 ± 5.91,21.21 ± 9.43,24.84 ± 8.68,0.0,0.0,0.00 ± 0.00,20.667,3.512,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,0.689,0.032
