model,dataset,reasoning_enabled,brevity_hint,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,precision_report,recall_report,f1_report,accuracy_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,unaligned_entity_count_avg,unaligned_entity_count_std,unaligned_entity_rate_report,all_entities_wrongly_unaligned_avg,all_entities_wrongly_unaligned_std,all_entities_wrongly_unaligned_rate_report,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
Qwen/Qwen3-8B,uner_en_ewt,False,False,n|a,,sampling,True,unconstrained,n|a,64,,18000,42,1,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,84.38 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,12,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,1057,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,18.358,0.0
Qwen/Qwen3-8B,uner_en_ewt,False,False,n|a,,sampling,True,constrained,token_aware,64,,18000,42,1,70.50 ± 0.00,73.16 ± 0.00,71.81 ± 0.00,93.84 ± 0.00,78.28 ± 0.00,77.77 ± 0.00,78.02 ± 0.00,83.59 ± 0.00,83.04 ± 0.00,83.31 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,19.771,0.0
Qwen/Qwen3-8B,uner_sk_snk,False,False,n|a,,sampling,True,unconstrained,n|a,64,,18000,42,1,76.56 ± 0.00,17.49 ± 0.00,28.47 ± 0.00,85.73 ± 0.00,80.62 ± 0.00,21.73 ± 0.00,34.23 ± 0.00,88.03 ± 0.00,23.73 ± 0.00,37.38 ± 0.00,6,0.0,66.67 ± 0.00,0,0.0,0.00 ± 0.00,601,0.0,74.20 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,20.809,0.0
Qwen/Qwen3-8B,uner_sk_snk,False,False,n|a,,sampling,True,constrained,token_aware,64,,18000,42,1,69.60 ± 0.00,66.56 ± 0.00,68.04 ± 0.00,92.61 ± 0.00,73.81 ± 0.00,71.10 ± 0.00,72.43 ± 0.00,84.74 ± 0.00,81.62 ± 0.00,83.15 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,22.374,0.0
Qwen/Qwen3-8B,uner_sv_talbanken,False,False,n|a,,sampling,True,unconstrained,n|a,64,,18000,42,1,81.06 ± 0.00,54.59 ± 0.00,65.24 ± 0.00,93.71 ± 0.00,79.36 ± 0.00,52.93 ± 0.00,63.51 ± 0.00,79.36 ± 0.00,52.93 ± 0.00,63.51 ± 0.00,1,0.0,50.00 ± 0.00,0,0.0,0.00 ± 0.00,54,0.0,29.03 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,4.762,0.0
Qwen/Qwen3-8B,uner_sv_talbanken,False,False,n|a,,sampling,True,constrained,token_aware,64,,18000,42,1,82.07 ± 0.00,77.04 ± 0.00,79.47 ± 0.00,96.44 ± 0.00,80.36 ± 0.00,72.98 ± 0.00,76.49 ± 0.00,84.07 ± 0.00,76.35 ± 0.00,80.02 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,4.895,0.0
Qwen/Qwen3-8B,uner_ceb_gja,False,False,n|a,,sampling,True,unconstrained,n|a,64,,18000,42,1,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,84.68 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,51,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,0.827,0.0
Qwen/Qwen3-8B,uner_ceb_gja,False,False,n|a,,sampling,True,constrained,token_aware,64,,18000,42,1,92.31 ± 0.00,97.96 ± 0.00,95.05 ± 0.00,99.10 ± 0.00,93.33 ± 0.00,79.13 ± 0.00,85.65 ± 0.00,93.33 ± 0.00,79.13 ± 0.00,85.65 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,0.871,0.0
Qwen/Qwen3-8B,uner_tl_ugnayan,False,False,n|a,,sampling,True,unconstrained,n|a,64,,18000,42,1,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,81.88 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,32,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,0.621,0.0
Qwen/Qwen3-8B,uner_tl_ugnayan,False,False,n|a,,sampling,True,constrained,token_aware,64,,18000,42,1,87.50 ± 0.00,84.85 ± 0.00,86.15 ± 0.00,95.82 ± 0.00,91.43 ± 0.00,94.96 ± 0.00,93.16 ± 0.00,91.43 ± 0.00,94.96 ± 0.00,93.16 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,0.672,0.0
