model,dataset,reasoning_enabled,brevity_hint,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,precision_report,recall_report,f1_report,accuracy_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,unaligned_entity_count_avg,unaligned_entity_count_std,unaligned_entity_rate_report,all_entities_wrongly_unaligned_avg,all_entities_wrongly_unaligned_std,all_entities_wrongly_unaligned_rate_report,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
openai/gpt-oss-20b,uner_en_ewt,True,False,low,,sampling,True,unconstrained,n|a,64,,18000,42,1,76.06 ± 0.00,4.96 ± 0.00,9.32 ± 0.00,85.36 ± 0.00,88.17 ± 0.00,7.81 ± 0.00,14.35 ± 0.00,89.79 ± 0.00,7.96 ± 0.00,14.62 ± 0.00,9,0.0,75.00 ± 0.00,0,0.0,0.00 ± 0.00,334,0.0,82.47 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,110.583,0.0,7.975,0.0
openai/gpt-oss-20b,uner_en_ewt,True,False,low,,sampling,True,constrained,token_aware,64,,18000,42,1,75.41 ± 0.00,25.09 ± 0.00,37.66 ± 0.00,79.19 ± 0.00,34.78 ± 0.00,35.45 ± 0.00,35.11 ± 0.00,45.30 ± 0.00,46.19 ± 0.00,45.74 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,65.667,0.0,8.503,0.0
openai/gpt-oss-20b,uner_sk_snk,True,False,low,,sampling,True,unconstrained,n|a,64,,18000,42,1,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,82.38 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,9,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,383,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,37.778,0.0,7.053,0.0
openai/gpt-oss-20b,uner_sk_snk,True,False,low,,sampling,True,constrained,token_aware,64,,18000,42,1,71.11 ± 0.00,46.01 ± 0.00,55.87 ± 0.00,82.83 ± 0.00,46.19 ± 0.00,52.48 ± 0.00,49.13 ± 0.00,58.59 ± 0.00,66.56 ± 0.00,62.32 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,83.333,0.0,11.856,0.0
openai/gpt-oss-20b,uner_sv_talbanken,True,False,low,,sampling,True,unconstrained,n|a,64,,18000,42,1,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,89.40 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,2,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,40.5,0.0,0.067,0.0
openai/gpt-oss-20b,uner_sv_talbanken,True,False,low,,sampling,True,constrained,token_aware,64,,18000,42,1,91.08 ± 0.00,72.96 ± 0.00,81.02 ± 0.00,96.53 ± 0.00,93.38 ± 0.00,73.79 ± 0.00,82.44 ± 0.00,94.71 ± 0.00,74.84 ± 0.00,83.61 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,275.0,0.0,3.033,0.0
openai/gpt-oss-20b,uner_ceb_gja,True,False,low,,sampling,True,unconstrained,n|a,64,,18000,42,1,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,84.68 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,45,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,196.0,0.0,0.59,0.0
openai/gpt-oss-20b,uner_ceb_gja,True,False,low,,sampling,True,constrained,token_aware,64,,18000,42,1,93.48 ± 0.00,87.76 ± 0.00,90.53 ± 0.00,97.30 ± 0.00,94.37 ± 0.00,87.39 ± 0.00,90.74 ± 0.00,94.37 ± 0.00,87.39 ± 0.00,90.74 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,196.0,0.0,0.611,0.0
openai/gpt-oss-20b,uner_tl_ugnayan,True,False,low,,sampling,True,unconstrained,n|a,64,,18000,42,1,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,81.88 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,31,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,1048.0,0.0,0.881,0.0
openai/gpt-oss-20b,uner_tl_ugnayan,True,False,low,,sampling,True,constrained,token_aware,64,,18000,42,1,87.10 ± 0.00,81.82 ± 0.00,84.38 ± 0.00,95.12 ± 0.00,90.22 ± 0.00,95.85 ± 0.00,92.95 ± 0.00,90.22 ± 0.00,95.85 ± 0.00,92.95 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,1048.0,0.0,0.89,0.0
