model,dataset,reasoning_enabled,brevity_hint,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,precision_report,recall_report,f1_report,accuracy_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,unaligned_entity_count_avg,unaligned_entity_count_std,unaligned_entity_rate_report,all_entities_wrongly_unaligned_avg,all_entities_wrongly_unaligned_std,all_entities_wrongly_unaligned_rate_report,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
openai/gpt-oss-20b,uner_en_ewt,True,False,medium,,sampling,True,unconstrained,n|a,64,,18000,42,1,76.92 ± 0.00,0.92 ± 0.00,1.82 ± 0.00,84.47 ± 0.00,74.07 ± 0.00,0.82 ± 0.00,1.63 ± 0.00,74.07 ± 0.00,0.82 ± 0.00,1.63 ± 0.00,11,0.0,91.67 ± 0.00,0,0.0,0.00 ± 0.00,702,0.0,98.18 ± 0.00,1,0.0,8.33 ± 0.00,0,0.00 ± 0.00,6343.583,0.0,42.792,0.0
openai/gpt-oss-20b,uner_en_ewt,True,False,medium,,sampling,True,constrained,token_aware,64,,18000,42,1,80.08 ± 0.00,70.59 ± 0.00,75.04 ± 0.00,92.83 ± 0.00,75.85 ± 0.00,78.12 ± 0.00,76.97 ± 0.00,80.42 ± 0.00,82.83 ± 0.00,81.61 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,6489.25,0.0,46.422,0.0
openai/gpt-oss-20b,uner_sk_snk,True,False,medium,,sampling,True,unconstrained,n|a,64,,18000,42,1,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,82.38 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,9,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,644,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,7819.333,0.0,40.626,0.0
openai/gpt-oss-20b,uner_sk_snk,True,False,medium,,sampling,True,constrained,token_aware,64,,18000,42,1,71.41 ± 0.00,51.58 ± 0.00,59.90 ± 0.00,79.95 ± 0.00,44.83 ± 0.00,59.83 ± 0.00,51.26 ± 0.00,53.52 ± 0.00,71.42 ± 0.00,61.18 ± 0.00,1,0.0,11.11 ± 0.00,0,0.0,0.00 ± 0.00,14,0.0,1.72 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,6871.444,0.0,39.347,0.0
openai/gpt-oss-20b,uner_sv_talbanken,True,False,medium,,sampling,True,unconstrained,n|a,64,,18000,42,1,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,89.40 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,2,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,77,0.0,100.00 ± 0.00,1,0.0,50.00 ± 0.00,0,0.00 ± 0.00,13785.5,0.0,13.387,0.0
openai/gpt-oss-20b,uner_sv_talbanken,True,False,medium,,sampling,True,constrained,token_aware,64,,18000,42,1,85.90 ± 0.00,34.18 ± 0.00,48.91 ± 0.00,93.01 ± 0.00,88.55 ± 0.00,41.78 ± 0.00,56.77 ± 0.00,88.55 ± 0.00,41.78 ± 0.00,56.77 ± 0.00,1,0.0,50.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,1,0.0,50.00 ± 0.00,0,0.00 ± 0.00,13785.5,0.0,13.851,0.0
openai/gpt-oss-20b,uner_ceb_gja,True,False,medium,,sampling,True,unconstrained,n|a,64,,18000,42,1,97.96 ± 0.00,97.96 ± 0.00,97.96 ± 0.00,99.40 ± 0.00,98.70 ± 0.00,98.70 ± 0.00,98.70 ± 0.00,98.70 ± 0.00,98.70 ± 0.00,98.70 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,8936.0,0.0,4.445,0.0
openai/gpt-oss-20b,uner_ceb_gja,True,False,medium,,sampling,True,constrained,token_aware,64,,18000,42,1,97.96 ± 0.00,97.96 ± 0.00,97.96 ± 0.00,99.40 ± 0.00,98.70 ± 0.00,98.70 ± 0.00,98.70 ± 0.00,98.70 ± 0.00,98.70 ± 0.00,98.70 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,8936.0,0.0,4.561,0.0
openai/gpt-oss-20b,uner_tl_ugnayan,True,False,medium,,sampling,True,unconstrained,n|a,64,,18000,42,1,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,81.88 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,31,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,8735.0,0.0,4.224,0.0
openai/gpt-oss-20b,uner_tl_ugnayan,True,False,medium,,sampling,True,constrained,token_aware,64,,18000,42,1,87.10 ± 0.00,81.82 ± 0.00,84.38 ± 0.00,95.12 ± 0.00,90.22 ± 0.00,95.85 ± 0.00,92.95 ± 0.00,90.22 ± 0.00,95.85 ± 0.00,92.95 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,8735.0,0.0,4.331,0.0
openai/gpt-oss-20b,uner_tl_trg,True,False,medium,,sampling,True,unconstrained,n|a,64,,18000,42,1,100.00 ± 0.00,95.65 ± 0.00,97.78 ± 0.00,99.20 ± 0.00,100.00 ± 0.00,92.37 ± 0.00,96.04 ± 0.00,100.00 ± 0.00,92.37 ± 0.00,96.04 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,2517.0,0.0,1.313,0.0
openai/gpt-oss-20b,uner_tl_trg,True,False,medium,,sampling,True,constrained,token_aware,64,,18000,42,1,100.00 ± 0.00,95.65 ± 0.00,97.78 ± 0.00,99.20 ± 0.00,100.00 ± 0.00,92.37 ± 0.00,96.04 ± 0.00,100.00 ± 0.00,92.37 ± 0.00,96.04 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,2517.0,0.0,1.326,0.0
