system_prompt,model,batch_size,fuzzy_mode,n_iters,precision_pct,precision_std_pct,precision_report,recall_pct,recall_std_pct,recall_report,f1_pct,f1_std_pct,f1_report,accuracy_pct,accuracy_std_pct,accuracy_report,context_not_in_input_avg,context_not_in_input_std,context_not_in_input_rate_pct,context_not_in_input_rate_std_pct,context_not_in_input_rate_report,entity_not_in_context_avg,entity_not_in_context_std,entity_not_in_context_rate_pct,entity_not_in_context_rate_std_pct,entity_not_in_context_rate_report,fuzzy_helped_avg,fuzzy_helped_std,fuzzy_helped_rate_pct,fuzzy_helped_rate_std_pct,fuzzy_helped_rate_report,exact_match_avg,exact_match_std,exact_match_rate_pct,exact_match_rate_std_pct,exact_match_rate_report,elapsed_minute_avg,elapsed_minute_std
SYSTEM_PROMPT_CONTEXT,gemma3:4b,5,False,5,61.41,3.65,61.41 ± 3.65,53.44,3.51,53.44 ± 3.51,57.12,3.3,57.12 ± 3.30,88.28,1.09,88.28 ± 1.09,9.2,6.261,2.11,1.31,2.11 ± 1.31,26.0,7.583,6.14,1.62,6.14 ± 1.62,0,0.0,0.0,0.0,0.00 ± 0.00,387.4,23.191,91.75,2.58,91.75 ± 2.58,3.319,2.36
SYSTEM_PROMPT_CONTEXT,qwen3:8b,5,False,5,66.23,3.18,66.23 ± 3.18,44.97,2.53,44.97 ± 2.53,53.48,1.41,53.48 ± 1.41,89.12,0.86,89.12 ± 0.86,2.6,2.51,0.84,0.71,0.84 ± 0.71,2.8,1.924,0.91,0.54,0.91 ± 0.54,0,0.0,0.0,0.0,0.00 ± 0.00,289.4,27.772,97.27,1.47,97.27 ± 1.47,4.435,2.922
SYSTEM_PROMPT_CONTEXT,gpt-oss:20b,5,False,5,64.75,3.24,64.75 ± 3.24,70.46,1.99,70.46 ± 1.99,67.47,2.63,67.47 ± 2.63,91.84,0.94,91.84 ± 0.94,3.6,2.074,0.78,0.46,0.78 ± 0.46,1.6,2.074,0.35,0.46,0.35 ± 0.46,0,0.0,0.0,0.0,0.00 ± 0.00,462.2,15.991,98.87,0.61,98.87 ± 0.61,5.448,0.534
SYSTEM_PROMPT_CONTEXT,llama3.1:8b,5,False,5,70.34,2.76,70.34 ± 2.76,54.49,4.04,54.49 ± 4.04,61.38,3.47,61.38 ± 3.47,91.42,1.15,91.42 ± 1.15,14.4,2.191,3.82,0.64,3.82 ± 0.64,37.8,10.109,9.99,2.56,9.99 ± 2.56,0,0.0,0.0,0.0,0.00 ± 0.00,325.6,10.597,86.19,2.71,86.19 ± 2.71,1.749,0.119
SYSTEM_PROMPT_CONTEXT_MD,gemma3:4b,5,False,5,59.23,5.62,59.23 ± 5.62,44.23,2.84,44.23 ± 2.84,50.62,3.85,50.62 ± 3.85,86.94,0.87,86.94 ± 0.87,10.4,4.393,2.76,1.03,2.76 ± 1.03,31.4,4.93,8.5,1.68,8.50 ± 1.68,0,0.0,0.0,0.0,0.00 ± 0.00,330.4,24.399,88.75,1.47,88.75 ± 1.47,3.062,2.457
SYSTEM_PROMPT_CONTEXT_MD,qwen3:8b,5,False,5,69.04,2.49,69.04 ± 2.49,54.44,3.66,54.44 ± 3.66,60.82,2.6,60.82 ± 2.60,90.88,0.99,90.88 ± 0.99,4.4,3.782,1.32,1.17,1.32 ± 1.17,3.2,2.775,0.91,0.75,0.91 ± 0.75,0,0.0,0.0,0.0,0.00 ± 0.00,332.8,23.637,97.37,1.14,97.37 ± 1.14,2.037,0.16
SYSTEM_PROMPT_CONTEXT_MD,gpt-oss:20b,5,False,5,63.26,3.16,63.26 ± 3.16,67.58,3.04,67.58 ± 3.04,65.34,3.03,65.34 ± 3.03,91.07,0.95,91.07 ± 0.95,9.6,2.51,2.06,0.48,2.06 ± 0.48,2.6,1.517,0.55,0.31,0.55 ± 0.31,0,0.0,0.0,0.0,0.00 ± 0.00,451.8,14.957,97.39,0.76,97.39 ± 0.76,5.441,0.354
SYSTEM_PROMPT_CONTEXT_MD,llama3.1:8b,5,False,5,71.92,1.69,71.92 ± 1.69,50.79,2.45,50.79 ± 2.45,59.52,2.1,59.52 ± 2.10,90.9,0.64,90.90 ± 0.64,18.2,4.324,5.15,1.19,5.15 ± 1.19,39.0,7.314,11.0,1.87,11.00 ± 1.87,0,0.0,0.0,0.0,0.00 ± 0.00,296.6,14.826,83.85,2.7,83.85 ± 2.70,1.617,0.07
SYSTEM_PROMPT_CONTEXT_MD_SHORT,gemma3:4b,5,False,5,61.25,1.45,61.25 ± 1.45,41.8,3.14,41.80 ± 3.14,49.66,2.7,49.66 ± 2.70,87.75,0.48,87.75 ± 0.48,12.4,1.817,3.45,0.45,3.45 ± 0.45,53.0,8.573,14.82,2.75,14.82 ± 2.75,0,0.0,0.0,0.0,0.00 ± 0.00,293.8,20.511,81.73,2.58,81.73 ± 2.58,1.844,0.081
SYSTEM_PROMPT_CONTEXT_MD_SHORT,qwen3:8b,5,False,5,67.97,2.18,67.97 ± 2.18,51.04,4.3,51.04 ± 4.30,58.26,3.48,58.26 ± 3.48,90.31,0.58,90.31 ± 0.58,3.6,4.336,1.1,1.37,1.10 ± 1.37,0.8,0.837,0.24,0.24,0.24 ± 0.24,0,0.0,0.0,0.0,0.00 ± 0.00,321.2,28.569,98.28,1.16,98.28 ± 1.16,2.146,0.254
SYSTEM_PROMPT_CONTEXT_MD_SHORT,gpt-oss:20b,5,False,5,66.81,2.82,66.81 ± 2.82,69.25,1.81,69.25 ± 1.81,68.0,2.28,68.00 ± 2.28,92.71,0.95,92.71 ± 0.95,4.4,2.793,0.99,0.64,0.99 ± 0.64,2.6,1.817,0.58,0.4,0.58 ± 0.40,0,0.0,0.0,0.0,0.00 ± 0.00,439.4,22.59,98.43,0.83,98.43 ± 0.83,6.373,0.469
SYSTEM_PROMPT_CONTEXT_MD_SHORT,llama3.1:8b,5,False,5,74.88,2.61,74.88 ± 2.61,50.55,2.6,50.55 ± 2.60,60.31,2.05,60.31 ± 2.05,91.28,0.59,91.28 ± 0.59,18.8,7.085,5.74,2.23,5.74 ± 2.23,24.8,8.075,7.58,2.54,7.58 ± 2.54,0,0.0,0.0,0.0,0.00 ± 0.00,284.6,18.284,86.68,2.19,86.68 ± 2.19,1.535,0.066
