system_prompt,model,precision,recall,f1,accuracy,elapsed_minute
SYSTEM_PROMPT_CONTEXT,gemma3:4b,0.60434,0.57709,0.59008,0.88678,3.079
SYSTEM_PROMPT_CONTEXT,qwen3:8b,0.53337,0.65898,0.58946,0.86315,3.776
SYSTEM_PROMPT_CONTEXT,gpt-oss:20b,0.63597,0.71155,0.67164,0.91188,7.123
SYSTEM_PROMPT_CONTEXT,llama3.1:8b,0.5119,0.61379,0.55767,0.87141,3.356
SYSTEM_PROMPT_CONTEXT_MD,gemma3:4b,0.57076,0.50071,0.53315,0.87138,3.112
SYSTEM_PROMPT_CONTEXT_MD,qwen3:8b,0.56393,0.73108,0.63632,0.88613,3.638
SYSTEM_PROMPT_CONTEXT_MD,gpt-oss:20b,0.64708,0.70646,0.67546,0.91406,8.459
SYSTEM_PROMPT_CONTEXT_MD,llama3.1:8b,0.55496,0.60795,0.5801,0.87641,3.353
SYSTEM_PROMPT_CONTEXT_MD_SHORT,gemma3:4b,0.60389,0.49166,0.542,0.87906,2.943
SYSTEM_PROMPT_CONTEXT_MD_SHORT,qwen3:8b,0.54497,0.68768,0.6079,0.86648,4.004
SYSTEM_PROMPT_CONTEXT_MD_SHORT,gpt-oss:20b,0.68268,0.70678,0.69444,0.92206,7.638
SYSTEM_PROMPT_CONTEXT_MD_SHORT,llama3.1:8b,0.57517,0.6414,0.60611,0.88738,3.161
