                 system_prompt       model  batch_size  fuzzy_mode  n_iters  precision  recall      f1  accuracy  context_not_in_input_avg  context_not_in_input_rate_avg  entity_not_in_context_avg  entity_not_in_context_rate_avg  fuzzy_helped_avg  fuzzy_helped_rate_avg  exact_match_avg  exact_match_rate_avg  elapsed_minute
         SYSTEM_PROMPT_CONTEXT   gemma3:4b          64       False        1    0.65318 0.05464 0.10085   0.83318                      18.0                        0.05660                       53.0                         0.16667               0.0                    0.0            247.0               0.77673          59.083
         SYSTEM_PROMPT_CONTEXT    qwen3:8b          64       False        1    0.65698 0.05464 0.10089   0.83429                       6.0                        0.03261                        2.0                         0.01087               0.0                    0.0            175.0               0.95109          68.916
         SYSTEM_PROMPT_CONTEXT gpt-oss:20b          64       False        1    0.70175 0.01934 0.03765   0.82900                       0.0                        0.00000                        0.0                         0.00000               0.0                    0.0             57.0               1.00000           1.835
         SYSTEM_PROMPT_CONTEXT llama3.1:8b          64       False        1    0.00000 0.00000 0.00000   0.82559                       0.0                        0.00000                        0.0                         0.00000               0.0                    0.0              0.0               0.00000          10.249
      SYSTEM_PROMPT_CONTEXT_MD   gemma3:4b          64       False        1    0.72043 0.03240 0.06201   0.83018                      16.0                        0.10063                       37.0                         0.23270               0.0                    0.0            106.0               0.66667          52.098
      SYSTEM_PROMPT_CONTEXT_MD    qwen3:8b          64       False        1    0.75385 0.02369 0.04594   0.82900                       1.0                        0.01471                        1.0                         0.01471               0.0                    0.0             66.0               0.97059          86.836
      SYSTEM_PROMPT_CONTEXT_MD gpt-oss:20b          64       False        1    0.74934 0.13733 0.23212   0.84987                       3.0                        0.00765                        6.0                         0.01531               0.0                    0.0            383.0               0.97704           3.980
      SYSTEM_PROMPT_CONTEXT_MD llama3.1:8b          64       False        1    0.00000 0.00000 0.00000   0.82559                       0.0                        0.00000                        0.0                         0.00000               0.0                    0.0              0.0               0.00000          18.224
SYSTEM_PROMPT_CONTEXT_MD_SHORT   gemma3:4b          64       False        1    0.73973 0.02611 0.05044   0.82977                      26.0                        0.10236                      150.0                         0.59055               0.0                    0.0             78.0               0.30709          28.729
SYSTEM_PROMPT_CONTEXT_MD_SHORT    qwen3:8b          64       False        1    0.68844 0.06625 0.12086   0.83617                       4.0                        0.01860                        3.0                         0.01395               0.0                    0.0            208.0               0.96744          68.512
SYSTEM_PROMPT_CONTEXT_MD_SHORT gpt-oss:20b          64       False        1    0.76878 0.38104 0.50954   0.89848                       9.0                        0.00850                       10.0                         0.00944               0.0                    0.0           1040.0               0.98206           9.626
SYSTEM_PROMPT_CONTEXT_MD_SHORT llama3.1:8b          64       False        1    0.83529 0.03433 0.06595   0.83130                      71.0                        0.41279                       11.0                         0.06395               0.0                    0.0             89.0               0.51744           9.774
