                 system_prompt       model  precision  recall      f1  accuracy  elapsed_minute
         SYSTEM_PROMPT_CONTEXT   gemma3:4b    0.64161 0.20493 0.31004   0.85099          29.031
         SYSTEM_PROMPT_CONTEXT    qwen3:8b    0.67757 0.12965 0.21691   0.84476          29.161
         SYSTEM_PROMPT_CONTEXT gpt-oss:20b    0.74138 0.59501 0.66011   0.92870          11.199
         SYSTEM_PROMPT_CONTEXT llama3.1:8b    0.76595 0.18669 0.29908   0.85678           8.783
      SYSTEM_PROMPT_CONTEXT_MD   gemma3:4b    0.55704 0.18078 0.27291   0.83708          17.345
      SYSTEM_PROMPT_CONTEXT_MD    qwen3:8b    0.70618 0.09378 0.16552   0.84041          28.499
      SYSTEM_PROMPT_CONTEXT_MD gpt-oss:20b    0.74785 0.59509 0.66234   0.92888          11.487
      SYSTEM_PROMPT_CONTEXT_MD llama3.1:8b    0.72657 0.15229 0.24346   0.85092          10.826
SYSTEM_PROMPT_CONTEXT_MD_SHORT   gemma3:4b    0.64917 0.22067 0.32905   0.85370          13.676
SYSTEM_PROMPT_CONTEXT_MD_SHORT    qwen3:8b    0.71473 0.09686 0.16765   0.84110          30.294
SYSTEM_PROMPT_CONTEXT_MD_SHORT gpt-oss:20b    0.74675 0.56065 0.63999   0.92467          11.323
SYSTEM_PROMPT_CONTEXT_MD_SHORT llama3.1:8b    0.75179 0.22506 0.34518   0.86359          10.333
