                 system_prompt       model  batch_size  fuzzy_mode  n_iters  precision  recall      f1  accuracy  context_not_in_input_avg  context_not_in_input_rate_avg  entity_not_in_context_avg  entity_not_in_context_rate_avg  fuzzy_helped_avg  fuzzy_helped_rate_avg  exact_match_avg  exact_match_rate_avg  elapsed_minute
         SYSTEM_PROMPT_CONTEXT   gemma3:4b           5        True        5    0.60393 0.54101 0.57046   0.88185                       0.4                        0.00100                       22.2                         0.05241              12.8                0.03012            388.2               0.91647           2.888
         SYSTEM_PROMPT_CONTEXT    qwen3:8b           5        True        5    0.66533 0.46908 0.54979   0.89348                       0.0                        0.00000                        2.4                         0.00777               2.2                0.00718            300.4               0.97171           4.507
         SYSTEM_PROMPT_CONTEXT gpt-oss:20b           5        True        5    0.64915 0.70051 0.67368   0.91879                       0.2                        0.00045                        1.2                         0.00256               4.4                0.00974            454.2               0.98724           7.269
         SYSTEM_PROMPT_CONTEXT llama3.1:8b           5        True        5    0.69137 0.54706 0.61072   0.91146                       1.6                        0.00433                       34.4                         0.09248              16.6                0.04462            319.0               0.85857           2.531
      SYSTEM_PROMPT_CONTEXT_MD   gemma3:4b           5        True        5    0.58987 0.45332 0.51261   0.87006                       1.0                        0.00273                       34.4                         0.09180              14.0                0.03701            325.8               0.86846           2.651
      SYSTEM_PROMPT_CONTEXT_MD    qwen3:8b           5        True        5    0.69393 0.54577 0.61029   0.90868                       0.4                        0.00122                        2.0                         0.00585               3.6                0.01065            332.2               0.97646           2.850
      SYSTEM_PROMPT_CONTEXT_MD gpt-oss:20b           5        True        5    0.63223 0.68923 0.65939   0.91063                       1.8                        0.00392                        2.2                         0.00479               7.4                0.01593            454.4               0.97536           8.196
      SYSTEM_PROMPT_CONTEXT_MD llama3.1:8b           5        True        5    0.71341 0.51659 0.59892   0.91124                       1.2                        0.00348                       37.0                         0.10764              14.6                0.04318            291.0               0.84570           2.427
SYSTEM_PROMPT_CONTEXT_MD_SHORT   gemma3:4b           5        True        5    0.60398 0.43040 0.50249   0.87622                       0.8                        0.00222                       50.0                         0.13899              12.6                0.03524            296.8               0.82356           2.491
SYSTEM_PROMPT_CONTEXT_MD_SHORT    qwen3:8b           5        True        5    0.68605 0.50453 0.58104   0.90333                       0.2                        0.00062                        0.6                         0.00182               3.4                0.01088            310.2               0.98551           2.849
SYSTEM_PROMPT_CONTEXT_MD_SHORT gpt-oss:20b           5        True        5    0.65880 0.69609 0.67686   0.92386                       0.0                        0.00000                        2.0                         0.00451               5.6                0.01245            442.2               0.98304           8.689
SYSTEM_PROMPT_CONTEXT_MD_SHORT llama3.1:8b           5        True        5    0.73368 0.52711 0.61329   0.91570                       0.6                        0.00178                       20.6                         0.06347              23.2                0.07214            280.8               0.86260           2.258
